[0.00 - 7.00] P:1646.56 E:0.067491 |  And the United States as England kick off and get this match underway.
[1414.00 - 1421.00] P:1310.19 E:0.090593 |  England with it in the centre-circle, Stolz goes for a long pass looking for Saka, he bumps into Robinson,
[1421.00 - 1426.00] P:1484.38 E:0.098456 |  but it is the Arsenal man who I think will struggle to keep it in, yes, he tried to put his foot on the ball and slipped over,
[1426.00 - 1430.00] P:1379.49 E:0.092786 |  maybe on that hard surface he's talking about, took him off the field and the ball's out for a throw.
[1430.00 - 1435.00] P:1463.06 E:0.094514 |  Yeah, just a heavy touch and it's just skipped away from him and he just can't catch it up, it's skipped as well.
[1435.00 - 1443.00] P:1293.34 E:0.099540 |  Another thing I know, Sonny's, there's barely any shadows of the players, it is brilliant, literally brilliant from every angle here.
[1443.00 - 1451.00] P:1500.55 E:0.099325 |  It is, they talk about the looks, don't they? The looks number tells you how bright it is.
[1451.00 - 1459.00] P:1398.98 E:0.087082 |  There's one stat we don't have, which is the United States though, so you would expect it to be that heavy tonight.
[1459.00 - 1467.00] P:1375.58 E:0.085107 |  England nil, USA nil and Dest playing the ball back to goalkeeper Turner.
[1467.00 - 1476.00] P:1442.81 E:0.094666 |  Dest, who is on loan at AC Milan, boss Lonerman, was making great strides, but he's one of the youngsters 22 years old
[1476.00 - 1482.00] P:1560.25 E:0.093449 |  and Fuller-Sekers claiming that he was pulled back there by Trippia, wanted the free kick, referee allows it to go,
[1482.00 - 1487.00] P:1432.05 E:0.092781 |  McKenney now taking it on towards the edge of the England penalty area, forced out wide by Rice Heads,
[1487.00 - 1495.00] P:1366.42 E:0.085561 |  where, where now, angles it back, Tyler Adams is there, Adams to his right to Dest and now McKenney is there as well,
[1495.00 - 1502.00] P:1503.43 E:0.084501 |  pulls the ball onto his right foot, this is in the England left back position, Sterling is back defending, helping out Shaw,
[1502.00 - 1508.00] P:1563.35 E:0.088997 |  but it comes in to Moosa on the edge of the box, he takes it on, gives it to Dest on the right hand side, Dest works it back,
[1508.00 - 1515.00] P:1577.00 E:0.102511 |  where is there on the right, where's Ball in and in the middle McKenney goes into the box and on the right foot,
[1515.00 - 1522.00] P:1665.31 E:0.096098 |  that was a great chance, eight yards out, he looked to whip it in and he whipped it over the top.
[1522.00 - 1528.00] P:1696.16 E:0.101550 |  That's a brilliant way of work move for a brilliant chance, McKenney completely unmarked at the far post,
[1528.00 - 1534.00] P:1640.80 E:0.100678 |  Sackers no idea of where he is, I think he just comes around a couple of bodies and skips up in front of him,
[1534.00 - 1539.00] P:1488.45 E:0.103195 |  that hard surface that we're talking about, catching him out there because he didn't have the control that it needed,
[1539.00 - 1546.00] P:1311.58 E:0.100084 |  but England couldn't get the pressure out wide, couldn't block the cross, it was well worked by America, good possession,
[1546.00 - 1555.00] P:1491.63 E:0.090887 |  well executed up until the finish. They'll feel better about it after that, the United States, that was really promising from them,
[1555.00 - 1561.00] P:1619.19 E:0.097550 |  that was like some of the stuff they played in the first half against Wales, as the ball is out of play,
[1561.00 - 1566.00] P:1518.70 E:0.103026 |  I thought that might have been a foul for the challenge on Robinson by Sacker, but it's not giving us a free kick,
[1566.00 - 1572.00] P:1494.48 E:0.095909 |  it's giving us a throw to it. No, it's good composure from America, that's what we haven't seen yet, that bit of composure on the ball,
[1572.00 - 1579.00] P:1462.62 E:0.087878 |  there's real moments of energy when they break and when they get through, break through the line, but that showed control for composure
[1579.00 - 1586.00] P:1327.54 E:0.082516 |  and a picking of the right ball. England nil, United States nil, five-live at the World Cup here in Qatar,
[1586.00 - 1592.00] P:1589.12 E:0.094964 |  and Dest taking the ball down in his right back position, turning it away and getting the throw in off Luke Shaw,
[1592.00 - 1598.00] P:1569.91 E:0.095188 |  United States having been in the greatest form in terms of results, coming into the tournament,
[1598.00 - 1604.00] P:1321.67 E:0.096339 |  and then of course an opening draw, so that means they've won just one of their last six internationals,
[1604.00 - 1612.00] P:1259.13 E:0.090633 |  that England have won one of their last seven, there's good win though.
[1612.00 - 1613.00] P:1410.79 E:0.071335 |  Evenly matched.
[1613.00 - 1619.00] P:1409.41 E:0.102129 |  Yeah, ball bouncing in the centre-circle, might have been a little push there, there was, well spotted by the referee,
[1619.00 - 1624.00] P:1659.42 E:0.099452 |  who's from Venezuela incidentally, and it is a free kick to the United States, good decision,
[1624.00 - 1631.00] P:1470.35 E:0.094938 |  the push by Trippie, it's a free kick to the USA, his name by the way is Jesus Valenzuela from Venezuela.
[1631.00 - 1641.00] P:1359.94 E:0.084578 |  Easy to remember, it was a good decision, but it broke then, and Robinson felt like the ball through to right in the centre-ball position,
[1641.00 - 1648.00] P:1381.75 E:0.087250 |  he was on the shoulder of John Stones, he felt like he was away, so maybe a fraction fortunate for England that advantage wasn't played.
[1648.00 - 1657.00] P:1292.89 E:0.095035 |  England nil, USA nil, and on the subject of referees, you might have been wondering, like I was, Michael Oliver has now been given his first game,
[1657.00 - 1668.00] P:1427.40 E:0.087310 |  and he will referee Japan Costa Rica on Sunday, so the first match for the Michael Oliver, Simon Bennett, Stuart Burt team, Japan Costa Rica.
[1668.00 - 1677.00] P:1362.95 E:0.093718 |  USA with it on the right hand side, carrying the ball into England territory, and Kenny who had that really glorious opportunity
[1677.00 - 1684.00] P:1474.94 E:0.091636 |  a few moments ago, plays it square, Pulasik uses Robinson on the left hand side pushing forward, as they like him to do in this team.
[1684.00 - 1691.00] P:1531.44 E:0.087277 |  McKenney back to Robinson again, couple of touches, foot to foot, works it back to Moussa, and he's got to have a go right foot it,
[1691.00 - 1700.00] P:1684.74 E:0.095470 |  it's deflected down into the ground, but it whipped through, and it sort of grows up like a jet taking off, but straight at Pickford who was able to hold the ball into his chest.
[1700.00 - 1711.00] P:1543.96 E:0.090330 |  Yeah, it's good from Declan Liles getting out fast, getting out, getting the block, not full block, but took the sting out of it, it's a spinning ball, a fast bounce, but comfortably dealt with.
[1711.00 - 1718.00] P:1490.82 E:0.103605 |  I thought from Trippie, the ball was bouncing up, but Moussa came across and had a look and deflected it out of play.
[1718.00 - 1723.00] P:1406.90 E:0.099949 |  Moussa's really caught my eye, 19 years old, 20 later this month.
[1723.00 - 1732.00] P:1432.24 E:0.096164 |  The old three in the sentiment for what they're really good at is that they play with their heads up, and they look for passes, but at the same time, if they wait, if he goes back off or hold off, they drive.
[1732.00 - 1743.00] P:1530.24 E:0.094524 |  Nice little piece about Moussa on the BBC Sport website at the moment, ball clad in to Mount inside the penalty area, but Dex put in the challenge, and it bounces through to Turner.
[1743.00 - 1751.00] P:1602.83 E:0.087614 |  I'll look at that on the football pages at the BBC Sport website, our colleague Alex Howell went to Valencia, his club, to speak to him.
[1751.00 - 1757.00] P:1397.83 E:0.091496 |  Former captain of the Arsenal youth teams, who's at the Arsenal Academy, could have played for England.
[1757.00 - 1763.00] P:1382.78 E:0.087584 |  Tyler Adams, Eunice Moussa, could have played for Ghana, could have played for Italy.
[1763.00 - 1769.00] P:1423.97 E:0.103137 |  Should mention as well, of course, Anthony Robinson, born in Milton Keynes, the United States left back.
[1769.00 - 1774.00] P:1384.40 E:0.095910 |  England dropping onto the back foot because USA are in possession.
[1774.00 - 1781.00] P:1370.68 E:0.094964 |  Almost half an hour played now, England 0, USA 0, both teams with one really good chance.
[1781.00 - 1791.00] P:1547.16 E:0.098397 |  Looking at USA coming into the game now, looking a lot more confident on the ball, stroking it around, biding the time, much like England were at the opening section of the game.
[1791.00 - 1794.00] P:1489.90 E:0.099958 |  So you'd have to say, very evenly balanced at the moment.
[1794.00 - 1803.00] P:1569.98 E:0.100011 |  Frank from Poulousek, and then Moussa is second, tumbling as the challenge came in, it's a combination of Bellingham and Stones.
[1803.00 - 1813.00] P:1378.26 E:0.091978 |  And Moussa, as I say, went cartwheeling away across the surface of the pitch, and he was just caught by Stones, who put his foot in on the ball, free kick.
[1813.00 - 1820.00] P:1536.44 E:0.093911 |  Yeah, a fraction late, but he also knew that he was caught out of position because he was pressing into the area in front of him, into the area of the cinema.
[1820.00 - 1824.00] P:1431.45 E:0.080138 |  It's a long way back for him then, he's not going to get all the way back in.
[1824.00 - 1832.00] P:1491.50 E:0.079258 |  Well, I think we can say Rob, England are in a proper World Cup match today, after the extenuating circumstances.
[1832.00 - 1838.00] P:1320.21 E:0.080786 |  But, I mean, it ran with everything that was going on, they were the ideal opponents.
[1838.00 - 1844.00] P:1391.55 E:0.090993 |  Looking back at hindsight, knowing what we do now, the way that the match developed, the way the players were, they were clearly affected.
[1844.00 - 1850.00] P:1307.77 E:0.089538 |  And certainly having seen them play against Wales today, when it seemed as though things really lifted off their shoulders.
[1850.00 - 1854.00] P:1432.61 E:0.079236 |  But for England, the perfect opening opponents, but this is the real thing.
[1854.00 - 1862.00] P:1626.67 E:0.088070 |  Yeah, and what you would say is that America may have learnt the lesson from the first game, having spent all that energy in the first half.
[1862.00 - 1867.00] P:1497.04 E:0.098554 |  And now we've got Adams and Mount Tanglen on the half-wheel line.
[1867.00 - 1873.00] P:1527.09 E:0.087389 |  It was a bouncing ball between the two of them, it was flicked up into the body of McKenney.
[1873.00 - 1877.00] P:1331.60 E:0.082846 |  And then in the end, it's given us an England free kick.
[1877.00 - 1884.00] P:1429.07 E:0.097960 |  I think McKenney just caught him out with an arm across the top of the body and then the face, not really any intent in it.
[1884.00 - 1885.00] P:1593.92 E:0.094028 |  So just a free kick.
[1885.00 - 1889.00] P:1316.20 E:0.099321 |  Trippier on the right-hand side, Trippier curls it into the box, but that is headed up and away by Zimmerman.
[1889.00 - 1894.00] P:1273.29 E:0.091403 |  England take-up possession again, but Trippier plays it a little way behind John Stones.
[1895.00 - 1900.00] P:1263.78 E:0.099866 |  And so McGuire, a heavy touch from McGuire, very nearly presented it to Pooleysick.
[1900.00 - 1905.00] P:1339.35 E:0.088959 |  He had to be sharp there, McGuire, to actually get to the ball ahead of Pooleysick.
[1905.00 - 1911.00] P:1234.44 E:0.093905 |  So instead, they go all the way back to Pickford again. Long pass from Pickford, and Dest is up high above Stirling.
[1911.00 - 1914.00] P:1587.45 E:0.085207 |  It's hooked forward, stretch from Rice.
[1914.00 - 1920.00] P:1523.84 E:0.101331 |  Mount had to come and help, but he did. It bounces away. McKenney, though, nice turn, used his body to get away from Mount.
[1920.00 - 1926.00] P:1533.41 E:0.098552 |  And McKenney surges forward to the edge of the England penalty area, into the box now on the right-hand side, back onto his left foot.
[1926.00 - 1929.00] P:1536.16 E:0.094942 |  Plays it to Moosa on the edge of the area. Moosa across to Pooleysick.
[1929.00 - 1933.00] P:1562.14 E:0.099003 |  England defenders getting back. Pooleysick shoots and hits the bar.
[1933.00 - 1941.00] P:1638.24 E:0.102561 |  Pickford diving to his right, and it strikes the top of the bar and looks away at a crazy angle over to the far side and behind foot.
[1941.00 - 1946.00] P:1644.35 E:0.102292 |  What is a goal kick at the United States? The width of the crossbar from taking the lead.
[1946.00 - 1950.00] P:1636.19 E:0.097351 |  It's a fantastic strike from Pooleysick on his weaker foot.
[1950.00 - 1953.00] P:1548.98 E:0.100937 |  Get a trip here on Moosa. Go on then, from that angle.
[1953.00 - 1956.00] P:1482.08 E:0.105080 |  Back and put McGowley, back me on the angle.
[1956.00 - 1963.00] P:1422.43 E:0.088885 |  Wow, it nearly came off. It's dipping. It's got everything on it. Just not enough.
[1963.00 - 1966.00] P:1329.72 E:0.088720 |  Juliet Farrington is down pitch side behind that goal.
[1966.00 - 1971.00] P:1454.35 E:0.094514 |  Yeah, Jordan Pickford, far from happy. Getting in his way, getting in that wrap.
[1971.00 - 1978.00] P:1618.71 E:0.096300 |  John Stones, Harry Maguire, Luke Shaw, Luke Shaw in particular, and McGuire have been on the receiving end of Pickford's noise.
[1978.00 - 1987.00] P:1581.72 E:0.088377 |  He has been barking at those players, and Declan Rice as well in this last 10 minutes or so, as the Americans certainly put on the pressure down this end.
[1987.00 - 1992.00] P:1606.50 E:0.088438 |  Harry Kane wins a free kick as England fired it away down the middle.
[1992.00 - 1994.00] P:1400.43 E:0.081079 |  Not sure how much there was in that.
[1994.00 - 1999.00] P:1468.83 E:0.090893 |  Zimmerman just putting his hip into Kane who went to the ground, and the referee said free kick.
[1999.00 - 2003.00] P:1511.19 E:0.088766 |  So it's almost in the middle of the USA half.
[2003.00 - 2009.00] P:1453.94 E:0.087891 |  Yeah, there was no effort from Zimmerman to play the ball. I think that was the key part that Kane was up in the air.
[2009.00 - 2016.00] P:1433.15 E:0.079809 |  He took him out, and it was more the contact with the ground on the hip for Harry Kane. That was the painful part.
[2016.00 - 2027.00] P:1300.27 E:0.093088 |  The other thing about the pitch, Rob, I'm reliably informed by people who were here yesterday that they were actually colouring the pitch yesterday to make it look more green.
[2027.00 - 2029.00] P:1223.45 E:0.085675 |  Tank the sand green.
[2029.00 - 2038.00] P:1394.33 E:0.099298 |  That's your speciality of course, green. Free kick, middle of the half. Shaw receives it, puts his foot on the ball.
[2038.00 - 2049.00] P:1621.82 E:0.086187 |  It's played into the penalty area in the back post. McGuire heads it across, but Dest stretched, and the USA do clear it away to Luke Shaw on the half-way line.
[2049.00 - 2051.00] P:1439.04 E:0.087254 |  And England will start again.
[2051.00 - 2063.00] P:1260.43 E:0.080796 |  0-0. Ten minutes to go to the break. We'll hear from Michael Richards again. Kelly's here with us tonight. Kelly Case presenting the program from inside the stadium with us.
[2063.00 - 2068.00] P:1156.98 E:0.087251 |  And Rice takes up possession inside his own half.
[2068.00 - 2073.00] P:1218.95 E:0.101247 |  Mark Chapman's in the stadium tonight as well. They're very rarely seen inside the same football stadium together.
[2073.00 - 2081.00] P:1473.57 E:0.089404 |  Mark Chapman and Kelly Case. It's a real red letter day in the old date as McGuire will take it forward.
[2081.00 - 2088.00] P:1410.78 E:0.083283 |  And it's all the way back to Pickford. Mark Chapman on TV duties tonight, so looking a million dollars.
[2088.00 - 2091.00] P:1517.13 E:0.084695 |  We are all honoured.
[2091.00 - 2100.00] P:1588.37 E:0.080054 |  Here's Stones. Stones turns and shuffles the ball forward. Highlights on BBC One 11.30 tonight.
[2100.00 - 2107.00] P:1416.98 E:0.086736 |  And the USA also watched them on the iPlayer. Jermaine Genus and Ashley Williams with Mark.
[2107.00 - 2115.00] P:1311.24 E:0.090357 |  Here's McGuire out to the left-hand side to Shaw. And then back it comes to McGuire in the middle of the England half.
[2115.00 - 2118.00] P:1371.66 E:0.090259 |  There's not been much in it. It's been quite an even game.
[2118.00 - 2126.00] P:1342.25 E:0.095429 |  Dalligan back down to Rice. Rice to the left-hand side. Shaw. Mount makes a run down the left-hand side. Shaw will take it on now.
[2126.00 - 2131.00] P:1484.04 E:0.096611 |  There are options either side. He uses Mount. Mount whips it in right footed. Dalligan with a flick.
[2131.00 - 2136.00] P:1560.31 E:0.095073 |  It was blocked by Zimmerman. Still in the USA panel of the area. Sterling trying to get it down. Shaw in the box.
[2136.00 - 2144.00] P:1668.91 E:0.091426 |  Turns, stabs it back to Mount on the edge of the area. Mount flips it in. But it's caught by Turner who's able to come and catch.
[2144.00 - 2151.00] P:1673.54 E:0.101592 |  And then he gets rid of it quickly. He's looking for the racing. Tulisig. And Stones is able to come across and times that beautifully.
[2151.00 - 2156.00] P:1659.92 E:0.095779 |  He's headed out of play and Tulisig vigorously claps back towards Turner.
[2156.00 - 2164.00] P:1463.96 E:0.081926 |  Right, so fantastic ball. Fantastic ball from the goalkeeper. Into the path of Tulisig. Cleverly read. Well read by John Stones.
[2164.00 - 2172.00] P:1434.51 E:0.086128 |  But I think that's better from England just to control the game. Kill it. Pick the time to go and play. Pick the time to attack.
[2172.00 - 2178.00] P:1358.36 E:0.086051 |  You don't want to get into a frenetic, chaotic game with this American side. Because that's what they thrive on. That's their game.
[2178.00 - 2185.00] P:1216.13 E:0.074343 |  England nil. USA nil. Here is Musa.
[2185.00 - 2194.00] P:1585.73 E:0.097174 |  Eunice Musa plays the ball forward but advances back. That is like a clear tug by Mount in the central third of the field on Weyer.
[2194.00 - 2202.00] P:1505.90 E:0.098984 |  No free kick. The referee's played advantage there again. Weyer gets on his feet. Rather nimbly plays it out to the left hand side.
[2202.00 - 2209.00] P:1476.19 E:0.091074 |  Robinson in field. American confidence is growing here. And the referee spotted a handball as it bounced up into Tulisig.
[2209.00 - 2217.00] P:1482.04 E:0.090035 |  And it's a free kick to England. Yeah, well spotted. Just an opportunity. England slow it down because for 20 minutes you thought,
[2217.00 - 2224.00] P:1534.61 E:0.085169 |  well, this could be a case of England taking the lead and just growing in confidence. But since then, America have grown into the game.
[2224.00 - 2233.00] P:1463.51 E:0.075938 |  And really, it looked like the more likely, without, yes, they hit the crossbar. But never got round the back of England as such.
[2233.00 - 2237.00] P:1734.73 E:0.095899 |  But it do look more likely, they're more confident right now.
[2237.00 - 2246.00] P:1510.60 E:0.086349 |  Sure, there's under pressure, miscontrolled it out of play. USA take the throw. McGuire's able to head it away, gets it back and then thumps it away.
[2246.00 - 2254.00] P:1389.46 E:0.094061 |  McKenney takes that down, plays it in field. Good play from McKenney. Now it's Adams. Adams. Busy little figure as we know.
[2254.00 - 2261.00] P:1495.23 E:0.095376 |  Leeds United support us, of course, know this season in that central midfield. When things have gone well for Leeds this season under Jesse Marsh,
[2261.00 - 2267.00] P:1477.34 E:0.092373 |  he's usually had a very good game out of play for a throw on the right hand side. Dest to take this.
[2267.00 - 2282.00] P:1483.78 E:0.090216 |  So, Genio. Dest, the Dutch born Dest just leaves the ball and McKenney's actually, he's leaned over the hoardings and he's wiping his hands on the bit of a photographer,
[2282.00 - 2291.00] P:1542.82 E:0.081757 |  dry his hands. I think I've never seen that before. The photographer looked very amazed. Throw from McKenney then and McGuire got up but didn't get a clean head on it.
[2291.00 - 2304.00] P:1638.89 E:0.086146 |  It's still bouncing in play and it is right. Had you right against Stones and as he tried to turn him, Stones got a foot in to stab it behind for a corner to USA for their first.
[2304.00 - 2316.00] P:1594.21 E:0.096715 |  Yeah, unnecessary that. John Stones had the header. It was a standing header but one that was going to win and Aaron McGuire coming in trying to take charge and just confuse the situation on corner which was avoidable.
[2316.00 - 2338.00] P:1590.22 E:0.093020 |  Yeah, so now England having to defend a corner. So, best behaviour everyone. USA corner. Swing into the near post but McGuire gets up and is able, really unchallenged, to head that away to comparative safety and then they're all over still in combination with Dest and Robinson and it's a free kick to England half inside their own half.
[2338.00 - 2350.00] P:1558.26 E:0.078427 |  So, half a few chances really when you look at it and I think the USA have had more opportunities. England had the first clear on that. The fact to chop from Ken which was very good.
[2350.00 - 2361.00] P:1533.83 E:0.083333 |  Yeah, 4-3 so they hesitate to call them the official statistics but an asset of statistics says 4-3. In fact, they're the BBC statistics so they must be right Rob.
[2361.00 - 2362.00] P:1510.03 E:0.067838 |  Absolutely.
[2391.00 - 2410.00] P:1541.63 E:0.094911 |  Yes, local thought. Kane knew that McKenney was coming and when it comes to challenge on him from Adams and Mount infield that's a good ball. Nicely done by Saka, takes it away from Adams. Saka then plays it to the far side but played that beyond Bellingham and that meant that Ware was onto the ball again, gets his head down but Bellingham glides across.
[2410.00 - 2421.00] P:1540.96 E:0.104401 |  Amazing how he got there so quickly but out really seeming to have put on a sprint and it bounces out of play which has been disputed by Bellingham who feels it should have been an England throw but it's a USA throw.
[2421.00 - 2437.00] P:1415.45 E:0.088066 |  Yeah, it was a good opening for England and you just felt that the switch was on, everyone could see it apart from the man on the ball but Kaya Saka eventually saw it and then played a really poor ball out and the opportunity was wasted but in England do have it under control.
[2437.00 - 2438.00] P:1514.28 E:0.092985 |  They can play through.
[2438.00 - 2453.00] P:1640.41 E:0.103549 |  Yeah, but this is good from the United States. Back heel sets, desks away and desks into the penalty area, beats McGuire and shoots and it's deflected right across the face of goal and out towards the corner flag where it eventually rolls out of play but it is a corner to USA, good play desk.
[2453.00 - 2462.00] P:1584.08 E:0.091929 |  Yeah, England just aren't dealing with the direct running of America and it's coming from every angle. It's coming from the midfield, it's coming from the full backs, it's coming from the wingers.
[2462.00 - 2473.00] P:1693.54 E:0.094289 |  When they go direct England the backpedal and eventually there Harry McGuire was showing desks down the line, showing him wide, steps inside, he thought he was going to get a shot right, great block in the end.
[2473.00 - 2489.00] P:1664.43 E:0.090886 |  That's Rob Green with us on 5 Live here inside the Old Bate Stadium and it's a corner to the United States, it's halftime approaches and here it is, played into the edge of the six yard box right onto the head of Harry McGuire.
[2489.00 - 2500.00] P:1477.06 E:0.086762 |  I think we must have the effect from down on pitch side because that was a right splatch wasn't it, off the head of McGuire. You must have had a lot of perspiration on it.
[2500.00 - 2502.00] P:1399.57 E:0.080271 |  Yeah, I think the balls felt that.
[2502.00 - 2518.00] P:1361.61 E:0.088226 |  Hitted. Take that. Haya. As we've all got on our phones out here, the Haya app. Here is Zimmerman. Always makes me think of Miss Piggy whenever I press on it.
[2518.00 - 2520.00] P:1411.73 E:0.074961 |  I was thinking of Bat Pink.
[2520.00 - 2532.00] P:1596.25 E:0.085088 |  Yeah, well that shows. Our respective ages. Here is Ware, now to the right hand side. Right is out there. Stirling has come back so right gives it back to Dest.
[2532.00 - 2542.00] P:1723.42 E:0.096301 |  Foot on the ball. Dest's cross. Header down but a cross goal and wide by Pulisic. He was in there again, he's already struck the crossbar Pulisic.
[2542.00 - 2548.00] P:1684.38 E:0.100172 |  Now he's getting up for heados. Is this the same Pulisic that we've been watching for Chelsea?
[2548.00 - 2552.00] P:1713.39 E:0.106287 |  Well, at times for Chelsea, far between.
[2552.00 - 2560.00] P:1694.65 E:0.098306 |  But he's got the stars and stripes on now Rob. Captain America is actually off his shoulder. I think he's just slightly behind him so he's coming back onto it.
[2560.00 - 2568.00] P:1618.57 E:0.094155 |  He's timed it. Again down this right hand side. England is stepping off the stepping back. They're not putting the pressure on. They're not on the front foot.
[2568.00 - 2580.00] P:1579.61 E:0.082927 |  England 0, United States 0 and now United States having the better of it. I think Stuart Holden who we heard from before the game, from a United States international, played in the World Cup against Rob back in 2010.
[2580.00 - 2589.00] P:1615.27 E:0.085625 |  He came up and spoke to us, which I very much enjoyed at half time in the previous match as Stirling then plays it to Saka but that breaks down for England.
[2589.00 - 2596.00] P:1652.72 E:0.088636 |  They're not giving away though. Played away. Tripier back to Bellingham. It's a good time for England to score this after being under pressure.
[2596.00 - 2604.00] P:1721.23 E:0.100576 |  Shaw with the cross but Turner's going to be able to catch that quite comfortably. Even though Saka has arrived and King wasn't too far away and he overarms it out.
[2604.00 - 2617.00] P:1421.52 E:0.090656 |  And we've seen the American confidence grow as the half has continued and Stuart Holden when he sat down and was getting ready to talk to us, he said to me, right, here we go.
[2617.00 - 2624.00] P:1636.11 E:0.094545 |  Here's the Yankee Doodle Dandy to there. And he was. He was exactly that. He looked up to it, didn't he?
[2624.00 - 2626.00] P:1467.69 E:0.093216 |  Played to the character, played to the role, yeah.
[2626.00 - 2636.00] P:1264.40 E:0.081836 |  It was like Bob Hope, like, almost like that. Danny Kay, maybe. Here is Mount who plays it to the left-hand side.
[2636.00 - 2647.00] P:1349.06 E:0.089339 |  Now back to Declan Rice, who uses John Stones, Garos Southgate, again with the dark suit and the cream polo neck on underneath it, watching on.
[2647.00 - 2655.00] P:1598.28 E:0.094955 |  Saka in front of him, passes it forward to Bellingham and Bellingham whips it into the back post where Desk was able to set himself and headed away.
[2655.00 - 2662.00] P:1597.42 E:0.099610 |  A glance away but he's given it to Shaw and now Stirling and Shaw. Oh, Shaw's done superbly well. Puzzle back. Saka at the near post.
[2662.00 - 2667.00] P:1679.03 E:0.093444 |  Left foot lifts it high over the top, surrounded by Americans in blue shirts.
[2667.00 - 2673.00] P:1453.48 E:0.092825 |  Yeah, brilliant from the two flanks. Brilliant. And initially from Duke Bellingham with the cross.
[2673.00 - 2683.00] P:1576.11 E:0.099309 |  Harry Kane just didn't read it. He didn't think that Duke Bellingham would be able to put such a ball in. Then Luke Shaw driving in was just behind Saka.
[2683.00 - 2691.00] P:1396.65 E:0.082839 |  He couldn't get any control on the shot, high and wide. But again, England picking their moments, picking the time, creating the chances.
[2691.00 - 2701.00] P:1362.52 E:0.090942 |  Just when they show that bit of composure yesterday and that big FIFA conference, there were questions to Garos Southgate from the New Yorker, the Washington Post,
[2701.00 - 2714.00] P:1287.76 E:0.093416 |  Gold USA, Saka Waya and certainly the champ from Saka Waya, I think was looking for Garos Southgate maybe to see if he would diss the American game.
[2714.00 - 2721.00] P:1302.12 E:0.092021 |  But as you can imagine, Garos Southgate saw that coming from the mile off and his response was, he said,
[2721.00 - 2727.00] P:1375.47 E:0.090173 |  I'm not sure that England have ever beaten the United States in a major tournament. Have they?
[2727.00 - 2733.00] P:1688.60 E:0.104113 |  He said, I can tell you they haven't. Stirling through to the edge of the box. Shot from Mount, good save turn up.
[2733.00 - 2743.00] P:1636.83 E:0.104853 |  Down to his right. That was hit with real power from Mason Mount. Lovely combination on the edge of the box, but just too close to the keeper who was able to make a good stop.
[2743.00 - 2754.00] P:1541.62 E:0.097380 |  Now, Greg Stryke, Greg Saved, a lovely one touch, fast from Stirling. Probably a foot inside the post that gives Turner the chance to get down.
[2754.00 - 2765.00] P:1556.32 E:0.094577 |  It's too close to him. He can get down, he can cut his legs, which makes it that bit quicker, but because it's closer, it allows him to cut his legs and drop down quicker.
[2765.00 - 2775.00] P:1532.54 E:0.092109 |  He doesn't have to put the power into his right hand side. Good save though. Artistic from Turner, corner from the left for England.
[2775.00 - 2784.00] P:1709.46 E:0.096238 |  So it's going to be an in swing at. Here it comes into the six yard box. But it's an easy take for Turner again. He's had it in the good first half.
[2785.00 - 2794.00] P:1600.83 E:0.103444 |  Well, you know Rob, with your goalkeeping hat on. There's the halftime whistle, England nil. The United States nil, Turner turns and an applause to the United States.
[2794.00 - 2802.00] P:1461.00 E:0.092812 |  Fans just take too much for them to get excited and they're wildly waving their stars and stripes and they applaud again, whipping them up again.
[2802.00 - 2809.00] P:1357.82 E:0.091166 |  That's not necessarily something he needs to do, but he's had a good half and it is nil nil and the United States have had a good half.
[2809.00 - 2813.00] P:1663.05 E:0.090711 |  Yep, and they found their way into the game. They looked a little bit at all at sea at the start of the game.
[2813.00 - 2818.00] P:1875.78 E:0.087548 |  Weren't quite sure. They're in a different shape. 4-4-2, weren't getting the press right, weren't dropping right.
[2818.00 - 2825.00] P:1855.56 E:0.076956 |  England were in control. Then they started to find their way. They started to drive at England, which they struggled with.
[2825.00 - 2832.00] P:1903.98 E:0.071577 |  Had the best chances in there. Pulisic hit the crossbar. The Kenny going high and over went, really should have done better.
[2832.00 - 2839.00] P:1890.07 E:0.065770 |  But it's in the balance and England, they're going in. He's saying, look, we can play better than this. We are better than this.
[2839.00 - 2841.00] P:1848.94 E:0.061753 |  Go out and prove it.
[2841.00 - 2848.00] P:1827.26 E:0.076171 |  Yeah, McKenny had that big chance. Pulisic with a shot hit the crossbar, but England have had two big chances as well.
[2848.00 - 2854.00] P:1772.66 E:0.089575 |  I would say the early chance for Kane and that one there at the end, which was really powerfully hit and well saved by Turner.
[2855.00 - 2864.00] P:1856.79 E:0.064644 |  So, half time here, it is England nil, the United States nil and Kelly Cates is sitting just to my left.
[2864.00 - 2872.00] P:1754.85 E:0.102611 |  Thank you, John Murray. Rob, was it you in the car on the way here who said there's an element of leads about the way that the USA play?
[2872.00 - 2882.00] P:1705.63 E:0.090166 |  Just for people who are trying to picture them at home that does have that same energy and intensity, but also the leads that don't have Patrick Bamford available to them.
[2882.00 - 2894.00] P:1768.23 E:0.085629 |  There is that. I'm sure you'll be watching at home, but it's one that you're looking at how they play and the energy, but also the chaotichness of it that you're thinking, right, okay,
[2894.00 - 2904.00] P:1698.03 E:0.087221 |  well, where's this chance going to come from? Where's the composure going to come from? And it's not, it's just them going, I'm going to go and be really uncomfortable for England here.
[2904.00 - 2913.00] P:1677.57 E:0.089362 |  And it has been an uncomfortable half and it's one that England haven't quite, when they're on the front foot and they're stepping forwards and they look to dominate, they have.
