[0.00 - 11.00] P:1617.17 E:0.100990 |  For what has been described as a period of silence in memory of Her Majesty Queen Elizabeth II.
[1644.00 - 1651.00] P:1792.20 E:0.103640 |  now with Alvarez back into the goalkeeper pass via, trying to play out from the back and Liverpool will press,
[1651.00 - 1656.00] P:1822.11 E:0.095338 |  they beat the press though and Timber now brings it clear up towards the halfway line,
[1656.00 - 1660.00] P:1812.20 E:0.089979 |  Taddick she's never scored actually against Liverpool in his club career,
[1660.00 - 1668.00] P:1814.55 E:0.100574 |  whether it be for Southampton or Ajax in 12 previous appearances, he's staying out wide on this right hand side,
[1668.00 - 1673.00] P:1685.84 E:0.090005 |  as Alvarez passes the ball to Daly Bliv, looking for the run on that left hand side,
[1673.00 - 1678.00] P:1936.31 E:0.108175 |  the cross comes back and Bergwein leaves it, Kudas gets the shot away and scores,
[1678.00 - 1685.00] P:1776.08 E:0.111922 |  flying equaliser off his left foot, put the underside of the crossbar, just as they found in Naples last week,
[1685.00 - 1693.00] P:1715.10 E:0.107916 |  a weakness down Liverpool's right hand side and Ajax profited and Kudas with the equaliser 1-1.
[1694.00 - 1703.00] P:1669.79 E:0.114723 |  Kudas to Kudas, but it's the midfield run of Bergwes on the Ajax left,
[1703.00 - 1708.00] P:1712.99 E:0.107629 |  the Liverpool right hand side which does for Liverpool, the ball popped out into the left back position,
[1708.00 - 1718.00] P:1616.14 E:0.111460 |  Daly Blind feeds the ball on the outside of Alexander-Arnold and then Bergwes is looking to find Bergwein inside the box,
[1718.00 - 1729.00] P:1653.96 E:0.104377 |  but the ball eventually goes through to Kudas and this is a devastating first touch and the second touch into the back of the net,
[1729.00 - 1736.00] P:1726.95 E:0.099606 |  off the underside of the crossbar, it's a devastating finish, it really is a brilliant finish from Kudas,
[1736.00 - 1744.00] P:1647.20 E:0.099865 |  Van Dyck backs away, Alisson isn't saving that and really Ajax haven't deserved this on the balance of play,
[1744.00 - 1751.00] P:1760.11 E:0.096445 |  but they are level and Liverpool, their vulnerability at the back this season once again exploited.
[1752.00 - 1759.00] P:1688.04 E:0.099222 |  He's a 22 year old attacking with Fielder, but in the absence or after the void left by Sebastian Alair,
[1759.00 - 1768.00] P:1712.91 E:0.097463 |  he was pushed further forward and he is in a rich vein of form, bearing in mind now he's scored in four successive games,
[1768.00 - 1778.00] P:1688.20 E:0.101451 |  that's five goals in those four games, he only scored four in the previous 27, the Ghanaian international.
[1780.00 - 1788.00] P:1485.85 E:0.113434 |  You can see certainly why Everton were keen to bring him to the Premier League and one suspects they won't necessarily be alone,
[1788.00 - 1799.00] P:1712.08 E:0.102894 |  a young man 22 years of age signed from Norchland in Denmark two years ago, it was an emphatic finish,
[1799.00 - 1809.00] P:1654.05 E:0.103655 |  Liverpool won, Ajax won, but there will be once more concerns how they were able to get round the back of Alexander-Arnold.
[1809.00 - 1816.00] P:1586.10 E:0.097775 |  Yes, it's a really good run from Burghut and the ball, and daily blend out in the far touch line,
[1816.00 - 1828.00] P:1674.20 E:0.103123 |  Slid to the right hand side of Arnold, Burghut who had run beyond him should be tracked from midfield, runner there, he wasn't,
[1828.00 - 1834.00] P:1476.69 E:0.093218 |  and then Burghfein couldn't quite get on the end of it, or did Kudas?
[1834.00 - 1842.00] P:1532.50 E:0.092176 |  Swindon two, Sutton one, a latest score in League two, back level pegging here at Anfield,
[1842.00 - 1856.00] P:1771.25 E:0.093097 |  Liverpool all in red, defending the Cop on a clear mild night, which certainly wasn't the case when these two sides met in the late 60s,
[1857.00 - 1867.00] P:1613.57 E:0.098700 |  and Liverpool suffered a heavy defeat in Amsterdam, played out in dense fog so that the spectators couldn't actually see
[1867.00 - 1877.00] P:1785.06 E:0.098977 |  when some of the goals were scored on that particular night, well here they've seen a fine goal rattled in by Ajax, a salad,
[1877.00 - 1884.00] P:1868.20 E:0.114548 |  who's given Liverpool the lead with court late, and that will be a free kick to the home side on this left hand side,
[1884.00 - 1889.00] P:1891.36 E:0.100886 |  about ten yards in from the left touch line, one-one, we've been playing for half an hour.
[1889.00 - 1899.00] P:1620.59 E:0.096728 |  Once again, brilliant distribution from Alisson, Spots-Sala who drifted out to the left hand side, one long ball,
[1900.00 - 1910.00] P:1605.96 E:0.101879 |  Alisson's hands in, Spots-Sala wins the foul from Wrench, another opportunity for Liverpool from a free kick,
[1910.00 - 1917.00] P:1730.81 E:0.100944 |  they've been quite good on the money have they so far, Alexander-Arnold and Simicass over the ball.
[1919.00 - 1928.00] P:1903.17 E:0.089633 |  Half an hour played, one-one, five live and BBC sounds, free kick on this, in from the left touch line, Simicass to take it,
[1928.00 - 1936.00] P:1717.43 E:0.090206 |  it's an out-swinger, Wrench's Salah plays the ball to Elliott, 30 yards out from goal, tries to get away from Kudas,
[1936.00 - 1944.00] P:1804.86 E:0.095808 |  runs to the right corner of the area, turns, sends over across, headed out by Bassey only as far as Alexander-Arnold,
[1944.00 - 1952.00] P:1942.71 E:0.111998 |  that would have been a special goal, a good 30 yards out on the volley right foot it was dipping and it goes narrowly over the crossbar,
[1952.00 - 1955.00] P:1884.97 E:0.095560 |  goalkeeper will say had it covered, goal kick, one-one.
[1955.00 - 1963.00] P:1784.24 E:0.096141 |  Here, Bassey, big header, must go 20-25 yards and Alexander-Arnold in a central position, we've seen him strike them before,
[1964.00 - 1974.00] P:1818.42 E:0.085150 |  one touch to set the ball, one bounce and then he thunders an effort, not sure Pasvir was saving that just over the IX crossbar.
[1974.00 - 1981.00] P:1872.88 E:0.086694 |  Middles-Brunil, Cardiff City 3 is the latest score in the championship, Stoke City have got a second goal,
[1981.00 - 1991.00] P:1690.36 E:0.099285 |  whole nil, Stoke City 2, Barnsley-Leed-Portvale 1-0 in league 1 at Oakwell and it's now swindled in 2, certain United 2 in league 2.
[1991.00 - 1997.00] P:1638.90 E:0.092931 |  We've got about 13 minutes to go to halftime, five lives swore, Bassey,
[1997.00 - 2003.00] P:1694.43 E:0.103255 |  Bassey's the ball back to his goalkeeper, able to take it onto his right foot, inside his six yard box and clear long,
[2003.00 - 2009.00] P:1654.73 E:0.106810 |  headed forward by Van Dyke, Fabinho comes under pressure, loses out there in the midfield,
[2010.00 - 2022.00] P:1831.47 E:0.101032 |  that was a nasty one, Tiago though, getting back to his feet which is a good sign, it was Urian Timber who'd gone in to what was certainly a firm challenge.
[2022.00 - 2033.00] P:1515.67 E:0.094948 |  There's a very strong challenge, Tiago slightly late, surprised the referee, wave play on but Liverpool in control of the ball.
[2034.00 - 2043.00] P:1629.03 E:0.085735 |  Forrest Green have equalised at the Valley, Charlton won, Forrest Green won, a lot of those games now will be going into halftime,
[2043.00 - 2052.00] P:1799.64 E:0.103424 |  such as Swansea against the leaders, Sheffield United as Allyson was almost caught very very late there, he got away with a clearance, Laura Kenyon.
[2052.00 - 2061.00] P:1703.66 E:0.106952 |  Swansea nil, Sheffield United nil, both sides creating chances but both sides lacking an end product, Sheffield United the highest score is 2,
[2061.00 - 2064.00] P:1621.90 E:0.116478 |  but being held here on a rainy night in South Wales it's nil nil.
[2065.00 - 2068.00] P:1799.95 E:0.099232 |  One-one here in the 33rd minute.
[2068.00 - 2080.00] P:1550.86 E:0.091278 |  What a piece of defending this is from Calvin Bassie, Lewis Diaz looks like he's taken a couple of yards out of him but Bassie is so quick,
[2080.00 - 2089.00] P:1687.58 E:0.104735 |  so so quick and gets back and makes the challenge when he looked beaten, saw a lot of that at Rangers last season,
[2089.00 - 2096.00] P:1674.29 E:0.104578 |  he was phenomenal for them in the second half of the season, hence his big move to Ajax.
[2096.00 - 2105.00] P:1593.67 E:0.088328 |  A runner-up in the Europa League of course with Rangers last season signed for just under £21 million,
[2105.00 - 2113.00] P:1692.49 E:0.094915 |  as here is Calvin Bassie, Birkhouse quickly closed down by Elliott, out of play it goes for a throw, one a piece it remains,
[2113.00 - 2115.00] P:1296.42 E:0.087681 |  halftime now at Ewart Park, Lee Blakeman.
[2115.00 - 2119.00] P:1624.84 E:0.100996 |  Blackburn one, Watford nil, great strike by Ryan Hedges, separates the two teams,
[2119.00 - 2126.00] P:1767.99 E:0.090851 |  Blackburn have been on top before that creating plenty, Watford without a single shot on target, Blackburn one, Watford nil.
[2126.00 - 2134.00] P:1772.76 E:0.092744 |  We've got just over 10 minutes to go to halftime, Alexander Arnold brings them all over the halfway line on that far side,
[2134.00 - 2143.00] P:1616.29 E:0.086213 |  Liverpool all in red playing from right to left, Elliott to Salah, given Liverpool the lead in field to Yago,
[2143.00 - 2146.00] P:1884.81 E:0.104502 |  oh steps over the ball, nice dummy.
[2146.00 - 2152.00] P:1823.87 E:0.104375 |  Now it's with Simicast to kill the ball in, only partially headed away by Alvarez, headed back by Luis Diaz,
[2152.00 - 2156.00] P:1848.81 E:0.089358 |  Blint tucked in, quite a narrow back four, Van Dyke directs his header out to Elliott,
[2156.00 - 2163.00] P:1892.40 E:0.106402 |  prods it forward now to Salah, right hand side enters the penalty area and will win a corner kick for Liverpool.
[2164.00 - 2166.00] P:1900.81 E:0.120334 |  Lovely a game by Diaz, wasn't it?
[2166.00 - 2172.00] P:1778.38 E:0.093468 |  Yeah, he's been so exciting in this first half for Liverpool.
[2172.00 - 2179.00] P:1657.37 E:0.102114 |  Had something a little bit different as daily bling, he's not happy with this decision for the Liverpool corner,
[2179.00 - 2187.00] P:1919.65 E:0.079949 |  Mo Salah driving at them inside the box, he thinks there should have been a goal kick for Ajax.
[2187.00 - 2192.00] P:1970.81 E:0.097496 |  Corner kick to Liverpool, it'll be an out swinger far side the right,
[2192.00 - 2199.00] P:1893.49 E:0.104324 |  and it comes now, Van Dyke beaten out by the goalkeeper and then it bounces back into his hands, I think it was of Jota.
[2199.00 - 2210.00] P:1944.58 E:0.099605 |  It was Van Dyke's downward header and Passbier was able to keep it out with just a reflex save and then extremely fortunate to gather it in the second attempt.
[2210.00 - 2220.00] P:1806.17 E:0.089871 |  Yeah, Alvarez is holding on to Van Dyke and as the ball is coming over, he reads the flight to the ball so well,
[2220.00 - 2225.00] P:1821.37 E:0.090298 |  Van Dyke says get off to Alvarez and powers ahead of which Passbier does well to save,
[2225.00 - 2229.00] P:1771.11 E:0.078041 |  maybe fortunate to gather at the second attempt.
[2229.00 - 2236.00] P:1626.73 E:0.082632 |  Liverpool have created the better opportunities. Here is Fabinho, 30 yards out from goal,
[2236.00 - 2241.00] P:1666.14 E:0.096396 |  passes the ball out to the right hand side to Alexander-Arnold, now towards Salah, right corner of the box,
[2241.00 - 2247.00] P:1918.72 E:0.095175 |  goes on the outside of Vassie towards the byline, cuts it back, doesn't go out of play, yes it does.
[2247.00 - 2253.00] P:1912.17 E:0.100619 |  It will be a corner kick to Liverpool, says the assistant referee over on that far side.
[2253.00 - 2267.00] P:1836.02 E:0.088030 |  Liverpool looking to finish this half, strongly ideally looking to go back with some sort of an advantage in redness of Jurgen Klopp's team talk, 1-1.
[2267.00 - 2274.00] P:1915.39 E:0.097116 |  Alexander-Arnold, three large paces back after placing the ball down in the quadrant on that far side.
[2277.00 - 2284.00] P:1719.92 E:0.087129 |  In it comes now, over everybody's head, he might have even picked up the supporter behind this, what was that?
[2284.00 - 2287.00] P:1750.86 E:0.077639 |  I know that was you.
[2287.00 - 2296.00] P:1707.62 E:0.082767 |  It wasn't wrong, what was that from Trent Alexander-Arnold? Very unlike him.
[2296.00 - 2306.00] P:1586.91 E:0.082135 |  Van Dyke was unlucky the moments before, textbook header back across, Passbier but the keeper,
[2306.00 - 2310.00] P:1701.37 E:0.078188 |  Alexander is left hand side and saved well.
[2310.00 - 2319.00] P:1869.51 E:0.098172 |  Lewis Diaz heads the ball out of play for a throw that Wrench will take on this near side for Ajax,
[2319.00 - 2326.00] P:1617.01 E:0.089751 |  there's a cluster of their support, right in the middle of that bottom tier, the Anfield road end, they're just jumping up and down,
[2326.00 - 2335.00] P:1822.06 E:0.093798 |  there's Basi prods it out, Elliott half hits the ball forward, Lewis Diaz, Timber clumsily brings him down,
[2335.00 - 2345.00] P:1761.79 E:0.085393 |  barges him from behind and gives Liverpool a free kick with eight minutes to go to half time, 1-1 on BBC Radio 5 Live.
[2345.00 - 2350.00] P:1728.05 E:0.078798 |  They take the free kick quickly, two quickly and it's hooked away by Kudos.
[2350.00 - 2358.00] P:1649.58 E:0.078163 |  I don't mind that though from Thiago, he's been inventive in this first half,
[2358.00 - 2363.00] P:1714.61 E:0.096929 |  take a quick free kick and catch Ajax, back line off guard.
[2363.00 - 2370.00] P:1827.29 E:0.103358 |  A sliding Elliott keeps the ball in play on the right hand side, now passes it forward that forced Basi to extend,
[2370.00 - 2379.00] P:1874.31 E:0.103569 |  they're pilfer handball against Daily Blint, the referee didn't see it, unsighted, so play continues and Berghaus lifts the ball up towards Taylor,
[2379.00 - 2388.00] P:1828.72 E:0.091245 |  cut out by Massit and Liverpool are back in possession. Thiago, strolling his way forward, always looks at ease with a ball at his feet.
[2388.00 - 2398.00] P:1843.69 E:0.097002 |  Lewis Diaz enters the penalty area, goes down with an outstretched arm from Wrench and it runs out of play for a goal kick and it remains 1-1.
[2398.00 - 2410.00] P:1638.98 E:0.084079 |  I don't know that he was looking, the penalty there, Lewis Diaz drives the outside, Wrench challenges him and Diaz goes to ground.
[2410.00 - 2412.00] P:1599.20 E:0.091148 |  Good battle that.
[2414.00 - 2420.00] P:1797.93 E:0.101135 |  Jota come out to the left hand side and Diaz likes to go centrally as well.
[2420.00 - 2430.00] P:1749.27 E:0.081953 |  The referee just telling the Ajax goalkeeper, Pasvier to liven himself up from the kick out.
[2432.00 - 2442.00] P:1814.69 E:0.098660 |  Clid away by Timber for the Ajax central defenders, Taylor's forward ball tries to come back to him, loses the ball just inside the Liverpool half,
[2442.00 - 2450.00] P:1805.06 E:0.101847 |  now taken over by Elliott to Thiago, back towards Elliott, forward of the centre circle, runs forward, passes the ball now towards Salah,
[2450.00 - 2459.00] P:1880.48 E:0.092199 |  enters the box, back heals the ball, Jordan the attack is Alexander-Ranold, he crosses, there was Simicas, only partially cleared, Simicas with his back to goal,
[2459.00 - 2467.00] P:1849.67 E:0.099966 |  finds Thiago edge of the area, clips it in, stretching to head it away, was Alvarez, still it remains in and around that penalty area for Ajax,
[2467.00 - 2476.00] P:1889.19 E:0.105907 |  Fabinho tries to get there, here is Salah, Fabinho a judge to have made a foul and it will be a free kick to Ajax with five minutes to go to half time,
[2476.00 - 2480.00] P:1919.44 E:0.091093 |  Liverpool 1, Ajax 1, you listen to the Champions League on 5 live.
[2480.00 - 2496.00] P:1652.06 E:0.080599 |  I think it's for a high boot from Fabinho, I think that's a harsh one, Wainlitz have all run across him, Ajax couldn't clear the ball, Liverpool will feel hard done by that decision.
[2498.00 - 2511.00] P:1826.01 E:0.098310 |  Clearance from Passfield, really good attacking header by Van Dijk, rolling away with Timber, Wrench brings it away, he's done well but quickly closed down by Fabinho.
[2511.00 - 2519.00] P:1900.34 E:0.089080 |  You think about Ajax in an attacking sense, they've really scored from their only effort at the Liverpool goal.
[2519.00 - 2533.00] P:1782.30 E:0.085687 |  It surprised me a little bit their approach, they like to dominate the ball but they've defended deep, Liverpool have had some pretty big chances in this game to go two up,
[2533.00 - 2541.00] P:1811.84 E:0.085610 |  but they haven't played through midfield with the confidence which I expected them to but that's largely down to Liverpool's press.
[2541.00 - 2552.00] P:1876.91 E:0.101929 |  Here is Wrench, first touch went away from him, came under pressure, ultimately loses the ball but helped out by Basi who wins it back for Ajax and then dug out by the goalkeeper who clears long.
[2552.00 - 2565.00] P:1866.25 E:0.101485 |  Taddish doesn't get the better of his former teammate Van Dijk, easily held him off there, ball though goes astray, Blint plays it forward, takes the deflection off the knees of Elliot and now Alexander-Arnold plays it forward and finds Elliot on the halfway line.
[2566.00 - 2577.00] P:1716.65 E:0.086289 |  Taylor right up behind in breathing down his neck, four minutes to go to halftime, Liverpool 1, Ajax 1 is still the latest score here at Anfield.
[2578.00 - 2592.00] P:1778.52 E:0.079519 |  Now it's with Van Dijk, Jotter comes inside the Liverpool half to collect the ball, Simicast tried to roll away from Wrench the right back, Andrew Robertson out with a knee injury.
[2592.00 - 2610.00] P:1853.88 E:0.080830 |  He will not be able to return until after the international break, indeed Liverpool don't of course play now with that game against Chelsea being postponed at the weekend but not fit enough to take part in Scotland's forthcoming Nations League matches.
[2610.00 - 2624.00] P:1937.19 E:0.111581 |  Louis Diaz finds Alexander-Arnold in the penalty area, Alexander-Arnold shoots from Povey, comes back to him and Povey makes another save, turning behind, Pasby for a corner kick, had two bites at it there Alexander-Arnold.
[2624.00 - 2648.00] P:1966.84 E:0.091076 |  We often see this from Louis Diaz, doesn't stay out on the left hand side, drifts in, side in a central position, feeds the ball to Alexander-Arnold who drives into the box, shapes the shoot with his right foot, sells Bassey and then powers the left foot at shot and Pasby just stands up and hits him in the chest and Ajax scramble the ball behind, Liverpool corner.
[2649.00 - 2673.00] P:1947.34 E:0.087468 |  Eintracht Frankfurt are leading away in Marseille, that's Tottenham's group, Marseille-Neal, Eintracht Frankfurt won, Liverpool have a corner kick, it's an in-swinger from the right hand side, Alvarez heads it behind and the talented Jesper Lindstrom has scored for Eintracht Frankfurt just before half time.
[2674.00 - 2681.00] P:1806.26 E:0.082729 |  Tottenham remember losing in our earlier game in Lisbon by two goals to Neal.
[2682.00 - 2698.00] P:1910.46 E:0.091902 |  So in front of the Anfield road end, new stand that is taking shape, they have a corner kick, Simicaster take it, Van Dijk with a downward head up and just moving very quickly away to his left in the end, not too extended, was Pasby to make the save.
[2699.00 - 2704.00] P:1792.17 E:0.074692 |  Yeah, it's a left footed out-swinger and Van Dijk on the penalty spot.
[2705.00 - 2718.00] P:1792.94 E:0.083042 |  I guess Bergwein actually just nudges him as he leaps to head the ball and Van Dijk tries to power the ball across Pasby, a nasty clash of heads there, Taditch and Van Dijk.
[2719.00 - 2737.00] P:1797.85 E:0.077898 |  Taditch has stayed down, slamming his right hand on the turf, Van Dijk has stayed upright but clearly filling the effects of that clash but Taditch is quite easily the one who's converse off.
[2737.00 - 2745.00] P:1636.10 E:0.062854 |  That's a really bad one, Van Dijk heads Taditch, form the team mates.
[2747.00 - 2753.00] P:1789.61 E:0.089546 |  It's good to see him sitting up whether there's any blood or not but just the impact there.
[2755.00 - 2762.00] P:1722.84 E:0.077456 |  The force which would have gone through Taditch's skull there.
[2763.00 - 2779.00] P:1838.12 E:0.086340 |  Being tended to, of course to Kellenberg the goalkeeper would have played with Van Dijk at Southampton and Lewis Diass in Conce South, although he's actually not involved, Francisco Conce South today would have been teammates during their time together at Porto.
[2779.00 - 2787.00] P:1777.22 E:0.090754 |  So there's a number of players in the respective squads that will know each other quite well as we are about to find out how much added on time there will be.
[2788.00 - 2803.00] P:1776.62 E:0.086313 |  Jürgen Klopp gives Taditch a pat on the back and the former Southampton man with a rubber the back of the head looks like he's able to continue as Liverpool won, Ajax won, will find out how much stoppage time there will be here from the Portuguese officials at Amfield.
[2804.00 - 2813.00] P:1722.32 E:0.094119 |  That's a chambolic head check though, I mean it really is. Van Dijk clattered into his head into the back of Taditch and barely checked.
[2815.00 - 2824.00] P:1845.36 E:0.087103 |  A minimum of 60 seconds of additional time which we're now into on five live sport by Munich Neil Barcelona.
[2824.00 - 2832.00] P:1830.72 E:0.093463 |  Munich Neil Barcelona Neil is a half time scoring group see where earlier into Milan beat the 10 men at Victoria Pilsen by two goals to nil.
[2835.00 - 2846.00] P:1698.73 E:0.078031 |  Here is Thiago, one-one here at Amfield. In field Jota with his back to goal plays it back to Fabinho. Out it goes to Salah on that right side.
[2847.00 - 2860.00] P:1691.39 E:0.075091 |  Salah forward to Alexander-Arnold. Salah waits. Ajax are just marshalling Liverpool away from their own penalty area.
[2861.00 - 2867.00] P:1820.82 E:0.089452 |  A little glance of the watch by the referee, puts his whistle in the mouth and there is indeed the half time whistle.
[2868.00 - 2876.00] P:1980.05 E:0.098804 |  So Liverpool won, Ajax won, Liverpool taking the lead through Mo Salah, the assist from Jota after 17 minutes.
[2876.00 - 2884.00] P:1720.87 E:0.105014 |  Lewis Diass and Jota both went close and then Pasvia making saves from Van Dijk and a double save from Alexander-Arnold.
[2884.00 - 2892.00] P:1738.73 E:0.102792 |  But in between that 10 minutes after Liverpool had taken the lead, Kudos with a fine goal to level. Chris?
[2892.00 - 2897.00] P:1805.16 E:0.106247 |  Yeah, look there's no doubt Liverpool have been the better side in this first half. They should go in ahead.
[2897.00 - 2906.00] P:1645.06 E:0.106522 |  They haven't been there, missed opportunities. Salah put them ahead. Heavy first touch, nice finish but then just switched off didn't they?
[2906.00 - 2914.00] P:1723.36 E:0.099634 |  Liverpool at the back, Berkjews got the run and the cross and Kudos with a devastating finish. One all at the break.
[2914.00 - 2916.00] P:1752.89 E:0.097262 |  I don't think Liverpool deserve that.
[2916.00 - 2923.00] P:1722.17 E:0.102728 |  But it remains Liverpool's problem area so half time here at Anfield Kelly, Liverpool won, Ajax won.
[2923.00 - 2933.00] P:1421.61 E:0.110321 |  Thank you Deno. Chris, the introduction of Thiago, the return of Thiago seems to have balanced Liverpool's midfield a little better and certainly he's had a very good game.
[2933.00 - 2939.00] P:1326.39 E:0.108795 |  But the issues defensively, the issues up front despite the fact that Liverpool have scored in this game continue.
[2939.00 - 2943.00] P:1517.66 E:0.092462 |  Yes to some extent. I think you're a good goalkeeper.
[2943.00 - 2945.00] P:1656.32 E:0.117138 |  But they're not finishing their chances.
[2945.00 - 2958.00] P:1609.28 E:0.103145 |  Yeah, absolutely. I think Jürgen Klopp will be sort of happy with the first half performance but as you say, they've had opportunities, they haven't taken them and they've been hit with a...
[2958.00 - 2962.00] P:1566.40 E:0.113889 |  I think that's their only shot on target Ajax in the first half.
[2962.00 - 2964.00] P:1546.93 E:0.107539 |  And it was a lovely finish as well.
[2964.00 - 2978.00] P:1602.77 E:0.102910 |  Brilliant finish, devastating finish from Kudos but Ajax haven't threatened enough and Liverpool pretty much dominated that half but they'll be scratching their heads how this is 1-1.
[2978.00 - 2983.00] P:1470.82 E:0.106462 |  And probably is systematic of Liverpool's season so far.
[2983.00 - 2985.00] P:1779.90 E:0.104305 |  Performance wise, it's been okay.
[2985.00 - 2988.00] P:1699.48 E:0.109220 |  I think you're right about Thiago. They've missed his creativity.
[2988.00 - 2992.00] P:1689.11 E:0.104711 |  He's always looking to play forward and he's been exciting in the first half.
[2992.00 - 3000.00] P:1671.44 E:0.107922 |  I think Mo Salah, that goal would have done him the world of good but hasn't quite clicked in the final third at times with some of the combinations.
[3000.00 - 3005.00] P:1688.70 E:0.100553 |  But when you think about the chances they've had, Salah from six yard pass the most.
[3005.00 - 3013.00] P:1781.84 E:0.099629 |  Alexander-Arnold worked to position beautifully onto his left foot and fired the ball straight at Pazvir when he should have scored.
[3013.00 - 3018.00] P:1703.82 E:0.095545 |  Lewis Diaz with the effort from 12 yards, pulled the shot wide.
[3018.00 - 3022.00] P:1590.18 E:0.097034 |  They have opportunities, they haven't been clinical and that's why they're not ahead at half time.
[3022.00 - 3028.00] P:1458.20 E:0.108198 |  I know you were saying about Ajax in commentary that it wasn't quite their normal game.
[3028.00 - 3032.00] P:1601.35 E:0.093183 |  It was a bit more defensive, a bit more back foot than we're used to seeing from them.
[3032.00 - 3042.00] P:1651.21 E:0.091467 |  Given that Liverpool go in at the break at 1-1 and we expect that Ajax will improve and maybe we'll see closer to what we expect from Ajax.
[3042.00 - 3046.00] P:1673.03 E:0.098801 |  This could be a tricky next 45 for Liverpool.
[3046.00 - 3050.00] P:1797.30 E:0.089047 |  Yes, it certainly could be.
[3050.00 - 3055.00] P:1746.88 E:0.090565 |  I think credit to Liverpool. Ajax haven't been good enough to beat Liverpool's press.
[3055.00 - 3060.00] P:1763.14 E:0.103348 |  I think they've done it once or twice in the first half but Liverpool have been really well organised.
[3060.00 - 3068.00] P:1790.72 E:0.095074 |  Ajax haven't been brave enough to play through the midfield and in many ways Pazvir's resorted to kicking long balls up
[3068.00 - 3072.00] P:1786.41 E:0.085839 |  and Van Dijk is always going to win those duels with Kudos.
[3072.00 - 3077.00] P:1784.70 E:0.090362 |  Liverpool can play better but I think in terms of performance it has been there.
[3077.00 - 3083.00] P:1746.48 E:0.094232 |  I think Klopp will be encouraged but of course the second half, we do expect more from Ajax
[3083.00 - 3090.00] P:1742.25 E:0.093441 |  but maybe if they come on to Liverpool then Liverpool have the players to hit them on the counter
[3090.00 - 3095.00] P:1777.31 E:0.087980 |  and some of Alisson's kickouts have been absolutely on a couple of occasions.
[3095.00 - 3099.00] P:1698.17 E:0.096825 |  I think one to Jota and one to Mo Salah.
[3099.00 - 3106.00] P:1671.03 E:0.088053 |  He's so sharp and accurate, Alisson is when the ball is in his hands with those long balls up the pitch for Liverpool.
[3106.00 - 3111.00] P:1529.15 E:0.112636 |  So Liverpool needed to improve on the performances so far this season and it looks like they've done that.
[3111.00 - 3114.00] P:1642.54 E:0.103309 |  To a certain extent at Anfield in the Champions League this evening,
[3114.00 - 3121.00] P:1596.63 E:0.095903 |  they're one all against Ajax, we'll be back with Chris Sutton and with Ian Dennis very, very shortly.
[3121.00 - 3126.00] P:1826.70 E:0.107309 |  In the meantime we're going to check in on what's happening elsewhere in the Champions League with John Bennett.
[3126.00 - 3131.00] P:1699.38 E:0.093807 |  Yes, a big game in Group C by Munich, Neal, Barcelona, Neal at half time.
[3131.00 - 3136.00] P:1525.86 E:0.094419 |  It's the open entertaining game we all expected but what we didn't expect Kelly was for Robert Lewandowski
[3136.00 - 3139.00] P:1855.66 E:0.086019 |  to miss chances against his old club.
[3139.00 - 3145.00] P:1707.18 E:0.094485 |  Four good opportunities, his old teammate Manuel Neuer passed to him accidentally in his own box.
[3145.00 - 3150.00] P:1590.91 E:0.090678 |  He couldn't take advantage, he had a half volley over from eight yards, a header well saved,
[3150.00 - 3155.00] P:1692.24 E:0.090092 |  Mazraoui also made a last-ditch tackle to prevent him scoring.
[3155.00 - 3159.00] P:1822.88 E:0.082332 |  Barca have had the best chances by not controlling things but it's still Neal-Neal.
[3159.00 - 3163.00] P:1641.70 E:0.095020 |  In Group B, Club Bruges have never made it out of the group stage.
[3163.00 - 3169.00] P:1678.25 E:0.096506 |  Is this their year? They beat Baylor-Vecuz and last week and at half time it's FC Porto-Neal, Club Bruges-1.
[3169.00 - 3174.00] P:1476.47 E:0.089783 |  A penalty from Jutgler and the former Liverpool keeper Minule made a great save to deny Pepe.
[3174.00 - 3178.00] P:1586.62 E:0.092173 |  In the same group it's Baylor-Vecuz and Neal, Atletico Madrid-Neal.
[3178.00 - 3185.00] P:1752.19 E:0.091685 |  And finally in Tottenham's group a late goal just before half time, Jesper Lindstrom with a goal from close range
[3185.00 - 3191.00] P:1663.00 E:0.084176 |  after a mistake by Marseille's Eric Bayi, it's Marseille-Neal, Eintracht Frankfurt-1.
[3191.00 - 3196.00] P:1947.95 E:0.079204 |  John Bennett, thank you very much, John's keeping us across all things Champions League this evening.
[3196.00 - 3202.00] P:1961.44 E:0.099392 |  Busy night as well in the championship, they're into the second half in Swansea City against Sheffield United, Laura Kenyon.
[3202.00 - 3209.00] P:2006.74 E:0.095018 |  Still goalers and back underway after a lengthy stoppage, Arnal Akmadovic in an attempted overhead kick,
[3209.00 - 3214.00] P:1991.64 E:0.102195 |  called Carl Norton in the face, a yellow card shown for the Sheffield United player.
[3214.00 - 3219.00] P:1845.99 E:0.084855 |  Norton back up after receiving treatment and it's Hansi Neal, Sheffield United, Neal.
[3219.00 - 3222.00] P:1593.74 E:0.104267 |  And it's Ewood Park, it's Blackburn against Watford, Lee Blakeman.
[3222.00 - 3228.00] P:1904.94 E:0.091575 |  Blackburn leading Watford-1-Neal but it should be 2 or 3 Kelly, it really should because Ben Breert and Diaz had a shot brilliantly saved
[3228.00 - 3234.00] P:1828.99 E:0.091953 |  early doors in this game and Tyrese Dole then saw an effort from the edge of the penalty area, tipped over as well.
