[0.00 - 6.00] P:1606.65 E:0.255550 |  Yes, thanks Mark. Welcome to Kaliningrad. We're up here on the Baltic Sea coast.
[1246.00 - 1248.00] P:1670.74 E:0.296548 |  England in possession inside their own half.
[1248.00 - 1253.00] P:1614.25 E:0.244698 |  Alexander Arnold leaves it for Eric Dyer the ball almost at walking pace.
[1253.00 - 1255.00] P:1575.97 E:0.219537 |  Now Reuben Loftus-Cheek.
[1255.00 - 1259.00] P:1441.74 E:0.279343 |  Quite surprised Chris to see Loftus-Cheek in the team bearing in mind he's on the yellow card.
[1259.00 - 1261.00] P:1497.20 E:0.259815 |  Yeah again, same, same.
[1261.00 - 1263.00] P:1680.16 E:0.247263 |  Trying to get him into the cock.
[1263.00 - 1264.00] P:1531.54 E:0.324732 |  He's been quite quiet.
[1264.00 - 1267.00] P:1583.51 E:0.287204 |  You've got to say he's got a lot of ability but he's been quite quiet in the game.
[1267.00 - 1269.00] P:1537.51 E:0.298205 |  He's making a run now towards the edge of the area.
[1269.00 - 1272.00] P:1483.23 E:0.268439 |  Dyer tries to pick him out but it was intercepted by Torgan Azard.
[1272.00 - 1277.00] P:1589.11 E:0.297105 |  And then Jones dived in on centrefield on Dembele, England off on the attack.
[1277.00 - 1282.00] P:1774.01 E:0.281461 |  Referee Damia Scamina one of the top officials in Europe brings it back.
[1282.00 - 1285.00] P:1495.69 E:0.221028 |  I think rightly for the foul, 3K Belgium.
[1285.00 - 1289.00] P:1555.77 E:0.262496 |  Yeah he just gets in, it's a slight challenge late by Jones in the number of free's to give it.
[1289.00 - 1291.00] P:1534.45 E:0.280675 |  But Belgium just can't get any rhythm.
[1291.00 - 1293.00] P:1692.48 E:0.275214 |  Yeah they've had two good chances as well.
[1293.00 - 1295.00] P:1721.72 E:0.240214 |  The shot was a good effort and the scramble with an early score.
[1295.00 - 1297.00] P:1741.34 E:0.248889 |  Kale kicked it off the line.
[1297.00 - 1299.00] P:1671.56 E:0.249906 |  Apart from that they've not shown a great deal.
[1299.00 - 1301.00] P:1509.04 E:0.272420 |  Borda line yellow card.
[1301.00 - 1305.00] P:1575.02 E:0.275070 |  That challenge by Jones which is something we're going to have to keep an eye on tonight.
[1305.00 - 1309.00] P:1541.22 E:0.257793 |  Bat Shuaia heading it back trying to find Fellaini.
[1309.00 - 1312.00] P:1558.21 E:0.272483 |  25-30 yards from goal but Eric Dyer was there.
[1312.00 - 1315.00] P:1436.55 E:0.270134 |  And Belgium have got the ball back inside their own half.
[1315.00 - 1318.00] P:1448.99 E:0.300956 |  So far we've played just over a quarter of an hour.
[1318.00 - 1319.00] P:1462.71 E:0.228486 |  A couple of chances.
[1319.00 - 1323.00] P:1551.66 E:0.277870 |  Gary Kehoe with a back post header that was deflected wide.
[1323.00 - 1327.00] P:1547.10 E:0.274113 |  And at the other end a shot from Telemans that was saved by Pickford.
[1327.00 - 1332.00] P:1447.06 E:0.272523 |  And then a bit of a scramble that Kehoe was able to scrape away from the goal line.
[1332.00 - 1334.00] P:1541.91 E:0.257527 |  So still 0-0 in the sunshine here.
[1334.00 - 1337.00] P:1578.79 E:0.291117 |  And Telemans manages to get away from Dyer.
[1337.00 - 1342.00] P:1577.35 E:0.276104 |  And Telemans' little pass is intercepted on the edge of the penalty area by John Stones.
[1342.00 - 1347.00] P:1537.50 E:0.325521 |  And England are away with Reuben Loftus-Cic who is up-ended by Fellaini on the half-way line.
[1347.00 - 1349.00] P:1857.10 E:0.207533 |  Free kick.
[1349.00 - 1353.00] P:1687.45 E:0.250999 |  Referee Scamina is going to call him across and says...
[1353.00 - 1354.00] P:1556.53 E:0.332170 |  There's your warning.
[1354.00 - 1355.00] P:1449.87 E:0.292105 |  Cut it out.
[1355.00 - 1356.00] P:1421.26 E:0.246196 |  It's a warning.
[1356.00 - 1357.00] P:1705.29 E:0.273416 |  There's your warning.
[1357.00 - 1358.00] P:1581.27 E:0.281347 |  It's 2-0 in the game.
[1358.00 - 1359.00] P:1422.27 E:0.266894 |  He's giving me yellow, isn't it?
[1359.00 - 1360.00] P:1650.01 E:0.190858 |  They'll be looking at towards the end of the game.
[1360.00 - 1361.00] P:1505.50 E:0.302376 |  Ref will be aware of this though.
[1361.00 - 1362.00] P:1792.23 E:0.271924 |  Yeah, yeah, yeah.
[1362.00 - 1363.00] P:1665.73 E:0.159088 |  So...
[1363.00 - 1364.00] P:1444.45 E:0.306683 |  You know, it'll be well over...
[1364.00 - 1366.00] P:1555.11 E:0.239358 |  He will know exactly what the score is.
[1366.00 - 1368.00] P:1531.27 E:0.280211 |  Telemans looks a decent player.
[1368.00 - 1373.00] P:1489.33 E:0.247832 |  I know he struggled in France in Monaco, but he came on last game for them.
[1373.00 - 1374.00] P:1480.10 E:0.245572 |  Looked all right.
[1374.00 - 1376.00] P:1556.19 E:0.227451 |  And today he started pretty great as well.
[1376.00 - 1377.00] P:1254.07 E:0.244890 |  Yep.
[1377.00 - 1383.00] P:1477.51 E:0.255101 |  He was tipped and picked out as a great young star in his very early days at Andalect.
[1383.00 - 1388.00] P:1382.13 E:0.265368 |  Yuri Telemans played in the Champions League when he was only 16 years old.
[1388.00 - 1392.00] P:1372.61 E:0.214515 |  And now, as Chris says, at Monaco, still only 21.
[1392.00 - 1396.00] P:1349.63 E:0.227767 |  So an opportunity for him tonight in the World Cup.
[1396.00 - 1401.00] P:1482.83 E:0.234235 |  0-0, BBC Five Live, beautiful evening, and Phil Jones in possession.
[1401.00 - 1405.00] P:1566.85 E:0.281355 |  Turns, plays it out to the right-hand side to Alexander-Arnold, who swills, went in.
[1405.00 - 1409.00] P:1497.91 E:0.287969 |  Oh boy, that's an awkward height for him, but he was in two mines there, and he actually
[1409.00 - 1412.00] P:1687.73 E:0.252729 |  almost headed it away at thigh height.
[1412.00 - 1414.00] P:1680.20 E:0.267822 |  And now, Danny Rose.
[1414.00 - 1418.00] P:1683.89 E:0.290334 |  Ref says that's not a foul as Rose wins the possession back, and then Rose is blatantly
[1418.00 - 1420.00] P:1855.38 E:0.322460 |  tripped by Telemans.
[1420.00 - 1421.00] P:1736.73 E:0.310100 |  That is a free kick.
[1421.00 - 1425.00] P:1809.20 E:0.285384 |  And it is the yellow card, first of the game to Belgium.
[1425.00 - 1427.00] P:1824.30 E:0.283584 |  Well, Danny Rose did ever so well.
[1427.00 - 1429.00] P:1785.97 E:0.306327 |  Yannisai dawdled on it, he took it off him.
[1429.00 - 1430.00] P:1694.34 E:0.216519 |  Good strength.
[1430.00 - 1432.00] P:1630.48 E:0.254515 |  I see that there's air.
[1432.00 - 1434.00] P:1641.97 E:0.299215 |  Just thought, yeah, you've gone past this, but you're not going to cross it.
[1434.00 - 1436.00] P:1650.02 E:0.310155 |  So he takes him down, takes the yellow.
[1436.00 - 1438.00] P:1584.85 E:0.256187 |  Can't help but be suspicious.
[1438.00 - 1443.00] P:1684.84 E:0.272468 |  But, yeah, that had the yellow card written all over it.
[1443.00 - 1444.00] P:1479.42 E:0.303483 |  Yep.
[1446.00 - 1449.00] P:1392.04 E:0.287311 |  England-0, Belgium-0.
[1449.00 - 1454.00] P:1619.25 E:0.259316 |  And we heard from Christophe Therreur, our Belgian journalist friend before the match,
[1454.00 - 1459.00] P:1489.99 E:0.272095 |  who was absolutely adamant that Belgium want to remain in the Moscow area,
[1459.00 - 1468.00] P:1399.45 E:0.259684 |  because that's where their base is, as well as it being what you might call the easier side of the draw.
[1468.00 - 1471.00] P:1451.22 E:0.248801 |  That is if you finish second in the group.
[1471.00 - 1476.00] P:1391.31 E:0.275271 |  And now England have got a significant fair play advantage with two yellow cards in their favour.
[1476.00 - 1480.00] P:1489.65 E:0.213814 |  England-0, Belgium-0.
[1480.00 - 1485.00] P:1530.16 E:0.261452 |  This is going to be swung in by Alexander-Arnold from out on the left-hand side.
[1485.00 - 1487.00] P:1447.76 E:0.244270 |  Raises his left arm.
[1487.00 - 1492.00] P:1542.97 E:0.303665 |  Alexander-Arnold then hits it in. Good delivery as well, but it is safely and securely headed away for Belgium.
[1492.00 - 1494.00] P:1616.12 E:0.274728 |  Batchouai challenges for it.
[1494.00 - 1500.00] P:1520.56 E:0.276200 |  And now Yannisai presents it back to Alexander-Arnold, who's ball over the top for Vardy.
[1500.00 - 1505.00] P:1514.15 E:0.259310 |  Boyatou came across, got a touch on it and sends it out for a throw in the other corner flag on the far side.
[1505.00 - 1506.00] P:1612.38 E:0.246601 |  0-0.
[1506.00 - 1511.00] P:1547.96 E:0.294127 |  I think England's appetites there, and you can see that they're really contesting everywhere all over the park.
[1511.00 - 1513.00] P:1635.31 E:0.253877 |  Good tempo about them.
[1513.00 - 1517.00] P:1627.60 E:0.303711 |  Belgium, I'm not so sure. They are playing very slow. They're giving the ball away.
[1517.00 - 1521.00] P:1616.97 E:0.249317 |  Chibney, a basic play-in-half pace at the moment.
[1521.00 - 1524.00] P:1615.93 E:0.313199 |  Jamie Vardy looks red hot. Doesn't he?
[1524.00 - 1529.00] P:1508.10 E:0.289046 |  Finished the season very well, ended up with 23 goals for Leicester this season.
[1529.00 - 1531.00] P:1599.92 E:0.216836 |  Rose takes the throw in to Delph.
[1531.00 - 1536.00] P:1529.00 E:0.293172 |  Rose with the ball at his feet, and Rose was offside when Delph returned.
[1536.00 - 1539.00] P:1669.42 E:0.287235 |  He had to say things like, I don't get this level as well.
[1539.00 - 1545.00] P:1603.06 E:0.235293 |  He should be looking across the lane, and it turns for Belgium to slow the game down again.
[1545.00 - 1547.00] P:1459.50 E:0.213733 |  So it is 0-0.
[1547.00 - 1556.00] P:1499.77 E:0.244554 |  And as I say, already today, one team has gone out of the World Cup on the basis of losing out on the disciplinary record.
[1556.00 - 1560.00] P:1579.69 E:0.242022 |  Semicore going out, and Japan going through.
[1560.00 - 1563.00] P:1482.09 E:0.223071 |  And the group winners will play Japan.
[1563.00 - 1569.00] P:1501.13 E:0.280948 |  What are your thoughts, Chris, on the relative strengths of Japan and Colombia as opponents in the last 16 years?
[1569.00 - 1573.00] P:1485.61 E:0.257551 |  Colombia have got players up and turning on. They've got a variation of play-out.
[1573.00 - 1577.00] P:1572.91 E:0.265110 |  I wouldn't say they're outstanding as 11, but they have got players up and changing the game.
[1577.00 - 1582.00] P:1613.40 E:0.248341 |  If our goal is on his game, he can put the ball in there. Sometimes he's not on his game.
[1582.00 - 1586.00] P:1532.19 E:0.231378 |  We've got a lot of talent players. We're out as far as Japan.
[1586.00 - 1591.00] P:1525.81 E:0.274448 |  I think that's all about the teamwork. The energy levels they show. They're a little bit naive, it seems.
[1591.00 - 1597.00] P:1474.37 E:0.244301 |  But technically they're very good. They like to play high tempo. They work ever so hard.
[1597.00 - 1601.00] P:1410.31 E:0.253266 |  Belgium in position. Halfway inside their own half.
[1601.00 - 1608.00] P:1502.44 E:0.270513 |  I'm with Garry Southgate when he says, people are talking about England will go there, and they'll go there, then they'll do this.
[1608.00 - 1614.00] P:1417.43 E:0.282226 |  He was saying, we're not in a position, England, to pick and choose where we go and who we might want to play.
[1614.00 - 1624.00] P:1559.17 E:0.235661 |  It's only two of nine knockout ties at tournaments. This is World Cup and European Championship since Euro 96.
[1624.00 - 1631.00] P:1499.65 E:0.237398 |  It's a long time since England won at a tournament against a team that is ranked higher in the world than they are.
[1631.00 - 1637.00] P:1541.74 E:0.221152 |  Which is what Belgium are. Belgium third in the world, England 12th in the rankings currently.
[1637.00 - 1643.00] P:1618.52 E:0.261478 |  As John Stones took a little bit of a gamble there against that Shuaib that was able to find the pass to Jones.
[1643.00 - 1647.00] P:1507.30 E:0.265679 |  But Belgium have one possession back now as they play from right to left.
[1647.00 - 1654.00] P:1582.76 E:0.238403 |  The tall, unmistakable figure of Fellaini back into the back line to Dendonka.
[1654.00 - 1658.00] P:1443.28 E:0.253605 |  And now Chadley to Telemans. Telemans thought about going for long pass.
[1658.00 - 1665.00] P:1551.56 E:0.260134 |  Actually goes 360 and then finds Chadley who over hits the ball through badly to Jordan Pickford.
[1665.00 - 1671.00] P:1523.42 E:0.292136 |  This is not the best belzer performance we've seen. I think the starter quote, barely got shot 25 yards in a scramble.
[1671.00 - 1676.00] P:1581.83 E:0.289057 |  They keep it away, Dyer. Now Dyer's given it away. Chadley gets a chance to make up for his earlier error.
[1676.00 - 1684.00] P:1498.08 E:0.284124 |  Here he is again, Chadley. Now to the right-hand side. Yannisai up against Rose. Beat him the last time in this position.
[1684.00 - 1692.00] P:1591.24 E:0.275610 |  Back onto his left foot goes Yannisai. Then it's cleared into the area by Telemans but Rose recovered and Fell as he cleared it away right-footed towards the half-way line.
[1692.00 - 1697.00] P:1585.45 E:0.249440 |  Of course there's problems with Yannisai. We know him. He's obviously drifted around, lost his way a bit.
[1697.00 - 1702.00] P:1605.26 E:0.250475 |  But when he gets one-on-one, especially in that last 20 yards, he is dangerous.
[1702.00 - 1709.00] P:1529.59 E:0.258165 |  England out of possession. Belgium have it. England against Belgium at the World Cup.
[1709.00 - 1717.00] P:1477.23 E:0.260944 |  But inevitably for those of a certain age, Christopher, makes you think of that game back in 1990, the David Platt volley in extra time.
[1717.00 - 1723.00] P:1545.05 E:0.280556 |  And actually I know you did a little feature on it with Terry Butcher and Mark Chapman this week which I think is available on a podcast.
[1723.00 - 1724.00] P:1747.93 E:0.239060 |  Yep, it is.
[1724.00 - 1726.00] P:1659.65 E:0.249924 |  Is it the take-match of the World Cup?
[1726.00 - 1727.00] P:1800.08 E:0.246782 |  No, it's not that.
[1727.00 - 1728.00] P:1864.58 E:0.212467 |  No.
[1728.00 - 1729.00] P:1582.95 E:0.346714 |  Let's see.
[1729.00 - 1731.00] P:1880.40 E:0.287501 |  We haven't done one of them for five minutes.
[1731.00 - 1735.00] P:1946.33 E:0.309090 |  Five minutes? I know, it's amazing. I'm surprised producer Gary hasn't been onto this.
[1735.00 - 1742.00] P:1934.98 E:0.307619 |  Here's Dembele. That's for your smart speaker users, incidentally. If you say take me to the World Cup, you'll hear all sorts of things.
[1742.00 - 1747.00] P:1757.25 E:0.278967 |  The ball is out of play on the far side. Kailah's passed by Belgium and it's become a little scrappy, Chris.
[1747.00 - 1754.00] P:1754.68 E:0.267150 |  It's not the best, let's be honest. I think England's played quite a good tempo and they are trying to...
[1754.00 - 1759.00] P:1710.84 E:0.297552 |  Basically, they are trying to score goals and create things. The tempo's quite good from England.
[1759.00 - 1763.00] P:1735.63 E:0.261206 |  But Belgium, every time they get it, they just want to play keep ball.
[1763.00 - 1768.00] P:1659.73 E:0.274634 |  And of course, there is the danger as well. We've talked about that, disrupting momentum.
[1768.00 - 1772.00] P:1743.21 E:0.264793 |  That would be the case if you lose this match.
[1772.00 - 1776.00] P:1633.15 E:0.264676 |  But Fomarlin in possession inside the Belgian half, plays it to Boyatta.
[1776.00 - 1782.00] P:1698.19 E:0.248732 |  Now out to the right-hand side, where it's played back to Boyatta.
[1782.00 - 1785.00] P:1687.46 E:0.295305 |  And now Fomarlin just crosses the half-way line.
[1785.00 - 1788.00] P:1545.21 E:0.294386 |  Great chorus from the England supporters inside the ground.
[1788.00 - 1795.00] P:1548.32 E:0.269170 |  There are Red and White flags of St George draped on almost every level of this stadium.
[1795.00 - 1800.00] P:1406.01 E:0.300256 |  One of the smallest stadiums, 35,000, the capacity here in Kailanengrad.
[1800.00 - 1806.00] P:1668.67 E:0.270225 |  And Boyatta, as Belgium continue to keep possession in the centre-third of the field, plays it to Fomarlin.
[1806.00 - 1810.00] P:1595.33 E:0.295120 |  Now Togen Hazard on the left-hand side. Rashford puts Fomarlin into pressure.
[1810.00 - 1814.00] P:1677.79 E:0.271563 |  So he goes all the way back to go keep a croatoir.
[1815.00 - 1822.00] P:1777.03 E:0.233128 |  It's got all of the makings there, so it's not being a thriller minute for Boyatta.
[1822.00 - 1825.00] P:1770.51 E:0.271528 |  Now to the left here to T-limits.
[1825.00 - 1832.00] P:1599.39 E:0.266644 |  But also, you know, there are the signs as well of players who really do know that they stand a chance of winning a place in the team.
[1832.00 - 1837.00] P:1580.85 E:0.275485 |  Like Rashford, the way that Vardias thought as well, I mean, has started as well.
[1837.00 - 1840.00] P:1797.79 E:0.297141 |  Obviously these players have great belief in their own ability.
[1840.00 - 1845.00] P:1838.23 E:0.265577 |  And the fact that they might be able to win their place in the side for the knockout stage.
[1845.00 - 1848.00] P:1955.96 E:0.251631 |  Here at the back is Den Donka.
[1848.00 - 1853.00] P:1812.81 E:0.312208 |  And now Yannisai does well against Rose, plays the ball through to Batuaie.
[1853.00 - 1856.00] P:1711.36 E:0.316163 |  Batuaie to the edge of the penalty area, into the box, shoots from an angle.
[1856.00 - 1861.00] P:1628.25 E:0.289416 |  And a sliding stone sticks out a leg and sends it behind for Belgium corner.
[1861.00 - 1863.00] P:1660.66 E:0.309023 |  Well, Belgium get a little jid on right-hand side.
[1863.00 - 1867.00] P:1648.77 E:0.282532 |  Yannisai's got the beaten-up Rose every time he's picked up, he's caused problems.
[1867.00 - 1869.00] P:1522.78 E:0.265193 |  Obviously deep, he doesn't look comfortable.
[1869.00 - 1873.00] P:1586.89 E:0.284947 |  Once he's getting that last third of the pitch, he's got a trick, he can get past Rose.
[1873.00 - 1878.00] P:1478.57 E:0.260634 |  That's why he goes good change of pace and great blocks out to the first corner for Belgium.
[1878.00 - 1881.00] P:1491.62 E:0.271116 |  He was something about an expected selection, wasn't he?
[1881.00 - 1885.00] P:1285.36 E:0.298013 |  Adnan Yannisai, not really pulled up trees at Real Sociedad.
[1885.00 - 1889.00] P:1336.75 E:0.270269 |  But here he is and he's done well here, starting at this tournament for the first time.
[1889.00 - 1892.00] P:1420.62 E:0.271236 |  It's a corner and it's an out-swing and curler.
[1892.00 - 1896.00] P:1699.75 E:0.325195 |  It's Chester down by Fellaini, shoots, who's brought by a defender, Alexander Arnold.
[1896.00 - 1900.00] P:1665.63 E:0.298781 |  I think Pickford might have had it covered. The ball still not cleared the penalty area.
[1900.00 - 1904.00] P:1769.59 E:0.297307 |  And then Keelam hits a shot from outside of the penalty area.
[1904.00 - 1907.00] P:1681.88 E:0.285916 |  Dyer wanted a foul as he was challenged on the edge of the box.
[1907.00 - 1913.00] P:1767.49 E:0.268859 |  Referee Skamina ignored that and England have actually fired it away downfield for Vardy to chase.
[1913.00 - 1916.00] P:1671.32 E:0.278158 |  And it's Vardy in possession who goes back to Rose inside his hand.
[1916.00 - 1918.00] P:1667.87 E:0.306680 |  That's how Vardy's grew up. Big scramble there wasn't it.
[1918.00 - 1922.00] P:1650.35 E:0.242104 |  Belgium did fancy their chance. Fellaini's really strong in the air.
[1922.00 - 1926.00] P:1594.62 E:0.268531 |  Great by Fellaini, Chester did it down, shot, it was on target.
[1926.00 - 1931.00] P:1573.36 E:0.215756 |  But Alexander Arnold was able to block it. It's out of play for three into Belgium.
[1931.00 - 1934.00] P:1635.31 E:0.253552 |  And the score is England nil, Belgium nil.
[1934.00 - 1938.00] P:1598.70 E:0.249988 |  Yeah, Fellaini did ever so well, cleared away.
[1938.00 - 1940.00] P:1522.64 E:0.269399 |  I think Pickford had it covered. It was a bit of a scramble.
[1940.00 - 1945.00] P:1374.72 E:0.272075 |  England get it away. When Belgium do one out up the tempo, you can see the quality they've got.
[1945.00 - 1947.00] P:1423.89 E:0.272259 |  And I know they've rested a lot on their team.
[1947.00 - 1951.00] P:1550.75 E:0.243852 |  But this squad is a very strong squad for Belgium in this tournament.
[1951.00 - 1955.00] P:1560.06 E:0.280257 |  I remember when we were in the Kremlin when the draw was made, as Rashford now takes it up,
[1955.00 - 1960.00] P:1696.10 E:0.280823 |  gives it to Vardy through the middle, loft his cheek, looking to find Rashford with his aerial cross.
[1960.00 - 1965.00] P:1696.11 E:0.270736 |  It's just a little beyond him, but Rashford was able to get a touch and also did well to keep the ball
[1965.00 - 1968.00] P:1619.72 E:0.232318 |  as he was put under pressure on the left hand side.
[1968.00 - 1976.00] P:1673.36 E:0.240386 |  Rose uses Rashford and back it goes towards the halfway line where Eric Dyer actually will chip it out here to the right hand side.
[1976.00 - 1980.00] P:1643.92 E:0.302608 |  I remember when we were in the Kremlin and the draw was made, producer Gary was with me there as well.
[1980.00 - 1989.00] P:1808.18 E:0.280317 |  We were licking our lips at the prospect of this one at the World Cup, as loft his cheek now takes it strongly towards the corner of the penalty area, turns back to Dyer.
[1989.00 - 1994.00] P:1766.62 E:0.258421 |  Dyer's chip to the back post is nodded away by Yangozi who is back in there.
[1994.00 - 2002.00] P:1791.05 E:0.289733 |  And now Fabian Delphi thought he was pushed. He was. It's a free kick to England just inside the Belgian half on the far side.
[2002.00 - 2007.00] P:1951.35 E:0.306417 |  It's a hard game to call you on at the moment because England have a little spelly up the tempo and they look quick.
[2007.00 - 2011.00] P:1876.02 E:0.264092 |  He thinks something's going to happen and Belgium really are strolling through the game.
[2011.00 - 2015.00] P:1724.25 E:0.270398 |  They up the tempo and they've had two or three really good chances.
[2015.00 - 2023.00] P:1609.17 E:0.256609 |  You always think something might happen when this tall, slim, Manchester United man, Marcus Rashford is in possession.
[2023.00 - 2028.00] P:1601.59 E:0.278928 |  A sort of expectancy that you can hear around the stadium rises when he has the ball at his feet.
[2028.00 - 2033.00] P:1640.65 E:0.254774 |  But this time his possession results only in a throwing on the far side.
[2033.00 - 2040.00] P:1704.62 E:0.239340 |  Two rolls, takes it back towards the halfway line where Gary Cahill chips the ball across to Jones.
[2040.00 - 2043.00] P:1573.69 E:0.247300 |  Now loft his cheek back to Phil Jones.
[2043.00 - 2049.00] P:1605.64 E:0.266929 |  Jones puts his foot on the ball and finds loft his cheek who turns infield.
[2049.00 - 2054.00] P:1634.44 E:0.276976 |  Loft his cheek who looks up, sees John Stones coming forward, rolls it across to him.
[2054.00 - 2056.00] P:1636.07 E:0.226937 |  This is good possession from England.
[2056.00 - 2063.00] P:1567.81 E:0.289254 |  This is what Garas Southgate wants to see from his England side to have possession and use the pace as well.
[2063.00 - 2069.00] P:1754.24 E:0.293334 |  Moves the ball quickly and Cahill chips one again out to the right hand side where Jones has got space in front of him.
[2069.00 - 2074.00] P:1622.48 E:0.263662 |  And Phil Jones can cross the halfway line and Jones can pass it up to his club mate Rashford.
[2074.00 - 2076.00] P:1695.38 E:0.237332 |  A couple of touches from him.
[2076.00 - 2077.00] P:1494.52 E:0.268095 |  Then back to Alexander-Arnold.
[2077.00 - 2083.00] P:1682.73 E:0.307368 |  Now Rashford turns away from Dembele and he heads towards the edge of the area and he passes it into the area via a deflection.
[2083.00 - 2089.00] P:1561.56 E:0.262956 |  It doesn't fall to the feet of Vardy and Belgium just clear it away where it rolls out of play for a throwing.
[2089.00 - 2091.00] P:1699.21 E:0.280079 |  He's unlucky Rashford. He's getting some good areas of Rashford.
[2091.00 - 2095.00] P:1612.81 E:0.293517 |  He's just dropping off that back three. Nobody really wants to go in here with him.
[2095.00 - 2099.00] P:1580.34 E:0.305551 |  I think England could get the ball to him a little bit earlier and he's always been available.
[2099.00 - 2104.00] P:1523.88 E:0.295957 |  I don't know about you, I'm seeing it as a direct contest between Rashford and Sterling.
[2104.00 - 2105.00] P:1626.96 E:0.198972 |  Yeah, of course it is.
[2106.00 - 2109.00] P:1673.21 E:0.275813 |  It's difficult. You know this game is...
[2110.00 - 2114.00] P:1779.06 E:0.288665 |  Those who have rested players and England have rested players.
[2114.00 - 2116.00] P:1725.65 E:0.319222 |  It's a good opportunity for them.
[2116.00 - 2124.00] P:1671.41 E:0.274688 |  If Rashford can come up with something special here then that gives Garis Salisgate a real decision to make for the last 16 game.
[2124.00 - 2128.00] P:1639.35 E:0.282104 |  Whether it's against Japan or whether it's against Colombia.
[2128.00 - 2131.00] P:1801.08 E:0.273828 |  The group winners will play Japan.
[2131.00 - 2136.00] P:1640.84 E:0.302233 |  England, Belgium Nill. We've played half an hour here and England are on the move again.
[2136.00 - 2140.00] P:1647.94 E:0.309655 |  Down the right hand side, Loftus Cheek into the path of Alexander-Arnold who goes for goal.
[2140.00 - 2142.00] P:1743.52 E:0.233645 |  Oh, he did not. That was a ship cross.
[2142.00 - 2147.00] P:1680.25 E:0.256972 |  Dropped just beyond the top corner. Courtois was bewildered by it for a moment.
[2147.00 - 2153.00] P:1616.75 E:0.256240 |  That was a cross. He's shanked, he tried to wrap his foot around it and he's missed it and it's definitely not.
[2153.00 - 2160.00] P:1563.75 E:0.272043 |  If that goes on as the board in front of you as a shot, you've got it wrong.
[2160.00 - 2165.00] P:1573.12 E:0.289888 |  You can see him all of the time actually looking in the field.
[2165.00 - 2169.00] P:1635.05 E:0.261326 |  Almost at the point where he hit it. However, he very nearly scored.
[2169.00 - 2179.00] P:1672.88 E:0.234623 |  England Nill, Belgium Nill and Delph is hopping away from a challenge from Thielenans near the centre-circle to free kick to England.
[2179.00 - 2183.00] P:1633.33 E:0.263748 |  Nill Nill.
[2183.00 - 2187.00] P:1731.93 E:0.307880 |  Diop, little pass to Alexander-Arnold.
[2187.00 - 2191.00] P:1707.94 E:0.296327 |  Feel like a million dollars won't he, Chris Alexander-Arnold. 19 years old.
[2191.00 - 2195.00] P:1690.77 E:0.282753 |  Come from nowhere. Now here he is playing in the World Cup.
[2195.00 - 2197.00] P:1669.99 E:0.255167 |  Unbelievable story. In Russia.
[2197.00 - 2200.00] P:1525.89 E:0.262238 |  It really is. Having played in the Champions League final.
[2200.00 - 2204.00] P:1539.80 E:0.253363 |  Now back into the central area, the John Stones.
[2204.00 - 2209.00] P:1582.54 E:0.255424 |  Care Hill, looks for Rose. Now Fabian Delph working tirelessly as he does.
[2209.00 - 2211.00] P:1678.72 E:0.322002 |  Does really well, Delph. Finds Rose.
[2211.00 - 2214.00] P:1768.62 E:0.304116 |  Rose chips it on and is caught laid by Dendonka.
[2214.00 - 2217.00] P:1731.18 E:0.271393 |  Then it's a free kick in the Belgium right back area.
[2217.00 - 2220.00] P:1727.06 E:0.301006 |  And a yellow as well for Dendonka.
[2220.00 - 2222.00] P:1741.81 E:0.226104 |  The Belgian fans are cheering.
[2222.00 - 2225.00] P:1630.54 E:0.305428 |  The Belgian fans were cheering the yellow card for their man.
[2225.00 - 2227.00] P:1453.83 E:0.161256 |  Yeah, they are.
[2227.00 - 2229.00] P:1648.94 E:0.229742 |  Oh, listen.
[2229.00 - 2231.00] P:1647.90 E:0.296707 |  Yes, they definitely are.
[2231.00 - 2236.00] P:1561.40 E:0.259961 |  As Jimmy Greaves used to say, football is a funny old game.
[2236.00 - 2238.00] P:1549.00 E:0.220917 |  It is.
[2238.00 - 2241.00] P:1617.92 E:0.240182 |  Free kick for England.
[2241.00 - 2244.00] P:1355.61 E:0.247489 |  So that, and they've got a big advantage now,
[2244.00 - 2249.00] P:1366.53 E:0.246137 |  that's five yellows to England's two in the tournament.
[2249.00 - 2251.00] P:1472.08 E:0.267882 |  Can't believe it.
[2251.00 - 2253.00] P:1505.40 E:0.291165 |  Can't believe it.
[2253.00 - 2256.00] P:1614.43 E:0.237795 |  Not goals, chances, what's going to happen to one of our yellow cards.
[2256.00 - 2258.00] P:1734.70 E:0.266389 |  Two man wall for Belgium.
[2258.00 - 2261.00] P:1685.22 E:0.208963 |  Trent Alexander-Arnold again in possession.
[2261.00 - 2264.00] P:1677.87 E:0.281289 |  He's seen a lot of the ball on his World Cup debut.
[2264.00 - 2266.00] P:1647.77 E:0.263469 |  And he's standing with his hands on his hips.
[2266.00 - 2273.00] P:1636.94 E:0.260923 |  Referee Scamina is giving Azard and Batuaia an extremely good talking to.
[2273.00 - 2277.00] P:1714.73 E:0.261137 |  About what they must do in the wall and what they must not do.
[2277.00 - 2283.00] P:1694.26 E:0.276379 |  And now the referee spotted some man handling inside the area.
[2283.00 - 2288.00] P:1723.59 E:0.193345 |  He's pointing to...
[2288.00 - 2290.00] P:1674.42 E:0.289554 |  Chadley, I think, is the culprit.
