[0.00 - 5.60] P:1575.80 E:0.182317 |  And it is a beautiful evening here on the Côte d'Azur.
[1294.00 - 1300.00] P:1703.79 E:0.179303 |  and unfortunately that has to go down as a mistake, but ultimately again, just like the first goal,
[1300.00 - 1307.00] P:1726.43 E:0.189976 |  it never ever should have got to that situation, Raheem Sterling has to get close to his man in the first place,
[1307.00 - 1314.00] P:1621.08 E:0.205576 |  the ball then comes into central area around the edge of the D and Iston play two little three yard passes,
[1314.00 - 1321.00] P:1681.70 E:0.198253 |  no one gets a touch, no one gets close enough to anybody to affect the ball, we had two great centre halves on earlier,
[1321.00 - 1328.00] P:1644.74 E:0.182098 |  Martin Kio and Rio Ferdinand, they would not have let that happen, well I think Glen weren't shell shocked before,
[1328.00 - 1335.00] P:1783.47 E:0.170554 |  they certainly are now, two one down to Iceland, here's Ali, Sturridge playing it back,
[1335.00 - 1341.00] P:1742.46 E:0.191250 |  England parked inside the Iceland half, Walkup will go back towards the half way line,
[1341.00 - 1345.00] P:1757.12 E:0.195478 |  I feel that there will have been a real tension about England before this match,
[1345.00 - 1351.00] P:1785.64 E:0.196669 |  because of the fact they were such big favourites, Gaius put in a big pressure on the half way line,
[1351.00 - 1356.00] P:1754.98 E:0.194237 |  but fortunately Smalling is able to help them out, Rooney, and then Challenge from Sterling,
[1356.00 - 1360.00] P:1699.06 E:0.202305 |  it's a foul from Gunnison, and it's a free kick to England on the left,
[1360.00 - 1366.00] P:1585.35 E:0.201013 |  it might actually have been Cyverson the right back who's just going to be spoken to by referee Scumina,
[1366.00 - 1372.00] P:1625.33 E:0.183233 |  but you know all of the worries will have begun to seep away when England won that penalty,
[1372.00 - 1379.00] P:1725.31 E:0.201464 |  when Sterling was fouled, Rooney scored it, but now, now this is a real crisis for England,
[1379.00 - 1389.00] P:1743.23 E:0.199568 |  21 minutes played, two one down, and in danger of suffering one of their biggest ever embarrassments,
[1389.00 - 1399.00] P:1769.54 E:0.185897 |  free kick on the left, it's going to be taken by Harry Kane who swings it in and it comes off the head of
[1399.00 - 1404.00] P:1737.28 E:0.198457 |  Sikthorsen, the goal scorer, over the top of his own crossbar and behind, for a corner,
[1404.00 - 1409.00] P:1687.98 E:0.189962 |  unfortunately England still have plenty of time to get back in this,
[1409.00 - 1417.00] P:1684.14 E:0.203820 |  no eyes to the very, very resolute, it would defend well, it's going to be a real uphill struggle now for England,
[1417.00 - 1424.00] P:1721.35 E:0.180843 |  corner from the right, Rooney to take base, huge Icelandic flag has been twirled behind the goal,
[1424.00 - 1429.00] P:1752.32 E:0.188727 |  Rooney, here it is, the out swinging right foot delivery, Kale with a header down,
[1429.00 - 1433.00] P:1649.59 E:0.211615 |  but it's headed away on the edge of the box and then Guilty Sigurdsson who is instrumental in the goal
[1433.00 - 1438.00] P:1785.42 E:0.200218 |  incidentally, which while it was poorly defended by England, it was beautifully worked by Iceland,
[1438.00 - 1444.00] P:1743.03 E:0.198998 |  the second goal, here's Rose playing it for it, Kale is still up there on the left hand side,
[1444.00 - 1447.00] P:1718.01 E:0.168987 |  but this controls it, Goodmunson.
[1447.00 - 1453.00] P:1770.90 E:0.216565 |  You can't let players of any international quality have a free shot from 16 yards with no pressure.
[1453.00 - 1458.00] P:1679.50 E:0.207086 |  And here is Guilty Sigurdsson, he said yesterday it would be an absolute dream to play against England
[1458.00 - 1464.00] P:1692.79 E:0.193536 |  in a tournament, that dream is turning it into a nightmare for England as the ball is cleared out of play
[1464.00 - 1471.00] P:1683.95 E:0.185693 |  for a throw to Iceland on the far side with the score England 1, Iceland 2, here's Alan Dreen to half time.
[1474.00 - 1481.00] P:1456.41 E:0.187539 |  The score line says it all doesn't it, Goodmunson with another long throw to take,
[1481.00 - 1487.00] P:1556.84 E:0.180701 |  remember his first long throw led to Iceland's equalizer, he's on the far side of the field,
[1487.00 - 1493.00] P:1512.42 E:0.209942 |  the Icelandic right, there it goes and this time it's better defended by England, by Harry Kane,
[1493.00 - 1499.00] P:1721.84 E:0.213228 |  then they're fully into the penalty here, once more, hard as made a hashamit, what a chance!
[1499.00 - 1506.00] P:1698.49 E:0.183717 |  Oh no the referee's given a free kick, well I tell you what the goal line assistant didn't react,
[1506.00 - 1512.00] P:1771.76 E:0.192182 |  neither did the assistant on the far touch line, it was the referee's Kamina who awarded a free kick,
[1512.00 - 1517.00] P:1751.92 E:0.188226 |  but really Bjarnasson, you know, heading over the crossbar ridiculous he should have hit it in.
[1517.00 - 1525.00] P:1688.80 E:0.183433 |  Well I think Johart was a little bit fortunate, clearly unsettled by that mistake for the second goal
[1525.00 - 1530.00] P:1623.20 E:0.198654 |  and Iceland did everything right, they put the ball high into the box, the looping ball back in
[1530.00 - 1537.00] P:1654.76 E:0.188685 |  and they went and challenged him, put him under pressure, he missed his punch completely,
[1537.00 - 1542.00] P:1676.34 E:0.206961 |  maybe a little bit fortunate to get a free kick, I don't think there was an awful lot in it,
[1542.00 - 1547.00] P:1724.67 E:0.165897 |  but as you said it didn't matter, the follow up shot went over the bar.
[1547.00 - 1557.00] P:1627.60 E:0.173086 |  Let's just get it right, Hart didn't get a hand on the shot, it went under his left arm, inexcusable.
[1557.00 - 1562.00] P:1628.44 E:0.203262 |  We were concerned Danny, weren't we, about England's defending before the tournament
[1562.00 - 1570.00] P:1703.02 E:0.194076 |  and now those chickens are coming under Rusnay, England won, Iceland 2, 24 minutes played here in Nice.
[1570.00 - 1576.00] P:1781.74 E:0.170024 |  It's a very old adage, you don't win anything without a great defence, you know, look at what the Italians have done,
[1576.00 - 1583.00] P:1690.70 E:0.150175 |  you know, you need a solid base to work from and maybe that is going to be England's downfall, maybe not,
[1583.00 - 1585.00] P:1756.85 E:0.184685 |  there's still time to get back in this.
[1585.00 - 1591.00] P:1740.40 E:0.193412 |  Italy were brilliant in beating Spain, the now former European champions 2-0 earlier,
[1591.00 - 1600.00] P:1745.50 E:0.175750 |  Italy will play Germany in the quarter-final, England should be thinking a place in the last eight is certain,
[1600.00 - 1607.00] P:1776.40 E:0.161574 |  that's what they must have thought before kick-off, it ain't no folks, Iceland leading by two goals to one,
[1607.00 - 1615.00] P:1790.49 E:0.168651 |  here's Kehel to the right of his own penalty area and if they were stung by the equaliser, the second Icelandic goal,
[1615.00 - 1621.00] P:1699.06 E:0.162699 |  you know, it's like a slap across both cheeks for England, now it's played down the right-hand side,
[1621.00 - 1627.00] P:1629.97 E:0.214646 |  Walker-Chasers after, I don't think he's fricking up to get there, he isn't and to great Icelandic cheers,
[1627.00 - 1631.00] P:1814.80 E:0.175628 |  it's gone behind for a goal kick, this is absolutely made for Iceland.
[1631.00 - 1637.00] P:1709.95 E:0.164415 |  England look a little bit lost at the moment, a little bit like they did against Slovakia later in that second half,
[1637.00 - 1645.00] P:1462.58 E:0.190235 |  they've lost a bit of confidence, not quite sure what to do, game plan seems to have gone out of the window about getting the ball into wide areas,
[1645.00 - 1652.00] P:1428.21 E:0.196042 |  storage on one side, Rehm Sterling's gone missing, since that first five minutes where he had two runs into the box and did well,
[1652.00 - 1659.00] P:1421.78 E:0.200050 |  we've not seen him since then, but the penalty wouldn't have happened in the first place if the goalkeeper hadn't been so rash.
[1661.00 - 1665.00] P:1630.89 E:0.215630 |  So Iceland need two-one and they're in possession with their captain Gunnarsson inside the centre-circle,
[1665.00 - 1673.00] P:1624.77 E:0.192311 |  plays it towards the right to Cyberson, the right full-back but it's beyond him, it's out of play and it's a throw-in to those in white,
[1673.00 - 1682.00] P:1699.13 E:0.188226 |  which is taken by Rose to Smalling onto Cahill just in advance of the D of the England penalty area and now Kyle Walker, the right full-back.
[1683.00 - 1691.00] P:1733.78 E:0.173420 |  Alley is up alongside Kane up front, passing his square for the moment for England, it's with the captain Rooney,
[1691.00 - 1700.00] P:1713.87 E:0.180053 |  whose penalty put England in front in the fifth minute, now Dyer onto the left-hand side and it's played on by Rose to Sterling,
[1700.00 - 1707.00] P:1702.80 E:0.192235 |  Sterling, well, I'm not going to blame him for that but it was good defending by the Icelandic full-back,
[1707.00 - 1713.00] P:1702.49 E:0.163363 |  and it was a good ball into the shin of Sterling and it went behind for a goal kick to Iceland.
[1713.00 - 1721.00] P:1597.65 E:0.153247 |  You're right not to blame Raheem Sterling, he's not being decisive at the moment and that does show a lacking confidence.
[1721.00 - 1730.00] P:1622.89 E:0.165855 |  And at this level, if you hesitate, if you give the defender an opportunity, they will make the most of it, we know how good this Icelandic defence is.
[1730.00 - 1738.00] P:1685.95 E:0.166972 |  And I think when we saw the team for the last group game and Sterling was left out, he may not play again in the tournament,
[1738.00 - 1747.00] P:1917.09 E:0.178511 |  because he's clearly shot to pieces the young man. Anyway, England are being shot to pieces, trailing Iceland by two goals to one.
[1747.00 - 1754.00] P:1670.35 E:0.170546 |  Here's the captain again, Gunnarsson with a long throw down the right touch slide and it immediately puts the England defence under pressure.
[1754.00 - 1763.00] P:1556.61 E:0.172425 |  Rose clears it though to Rooney, Rooney into Dyer and Dyer on and it's going to run to Harry Kane, the balls left for Kane by Sterling.
[1763.00 - 1772.00] P:1806.70 E:0.178498 |  Now Kane finds his club colleague, Ali, onto Sturridge, Sterling's on the far side of the post, he's come inside though, there's the cross in,
[1772.00 - 1776.00] P:1876.94 E:0.205878 |  and there's Harry Kane and the ball, he goes save with a goalkeeper, Holmerson.
[1776.00 - 1784.00] P:1910.83 E:0.185120 |  What's living to do? Great technique from Harry Kane at the far post, Sturridge did well, has to check back on his right foot,
[1784.00 - 1791.00] P:1852.12 E:0.178202 |  Kane does everything right, gets a great connection on it, unfortunately straight at the goalkeeper.
[1791.00 - 1799.00] P:1758.34 E:0.176546 |  Rooney and Sturridge are England's best players, not sure about the quality of the rest of them, nearly 28 minutes gone here in Nice,
[1799.00 - 1808.00] P:1764.05 E:0.182393 |  corner to England from the far side, Wayne Rooney to take it, right footed, swinging in towards the goalkeeper, punch clear, Ali controls it,
[1808.00 - 1814.00] P:1736.74 E:0.194599 |  then he bollies it and it's headed away once more, this time by Arnarsson, collected by Rooney again, left side of the penalty,
[1814.00 - 1822.00] P:1809.78 E:0.189977 |  deep cross, too deep for Sturridge and not surprisingly Sturridge couldn't bring the ball over the controller behind for a goal kick.
[1822.00 - 1825.00] P:1738.00 E:0.164588 |  Chris Waddley, I don't think what you're thinking at the moment.
[1825.00 - 1834.00] P:1641.83 E:0.194603 |  I agree with Ali, it's a sham, we said we couldn't defend and nobody's tested, I mean these have it really, they put two balls in the box,
[1834.00 - 1842.00] P:1624.41 E:0.196657 |  two goals, Joe Hart's got to put his hand up obviously, but I agree with him, there's only Wayne Rooney and Sturridge who look threatening,
[1842.00 - 1847.00] P:1551.09 E:0.202732 |  who are playing probably to their abilities, Sturridge is in a good position on that right hand side, holding the wits,
[1847.00 - 1850.00] P:1786.13 E:0.162999 |  Sturlin is still lacking confidence for me.
[1851.00 - 1859.00] P:1788.02 E:0.189345 |  Here's Ali, in the close-frixing but he's just sterling, almost running into sterling, Ali keeps the possession and now Sturling's available,
[1859.00 - 1865.00] P:1635.29 E:0.180764 |  Sturling takes it up, left of the penalty and he's going to run at the full back, beats him, no, checks onto his right foot,
[1865.00 - 1873.00] P:1756.42 E:0.175999 |  passes it back to Ali, Ali hasn't crossed it in, instead it's laid back once more to Wayne Rooney and Rooney to die.
[1873.00 - 1879.00] P:1804.19 E:0.192903 |  And England's body language isn't great, but here's Sturridge, Sturridge taking it up, running towards the penalty here,
[1879.00 - 1887.00] P:1776.10 E:0.202382 |  finds Sturling inside the box, Sturling plays it to Rose, Rose is crossed, takes it to the Plecton and is called by the goalkeeper, Holdersley.
[1887.00 - 1894.00] P:1859.48 E:0.195295 |  It'd be interesting to see what Chris Waddle thinks, but I think England would probably be better switching maybe to a 4-4-2,
[1894.00 - 1898.00] P:1900.66 E:0.189064 |  however they're going to do it, put Sturridge down the middle with Harry Kane,
[1898.00 - 1904.00] P:1887.36 E:0.175369 |  get somebody on this right, even put Sturling on this right-hand side and get somebody on the left at the moment.
[1904.00 - 1909.00] P:1866.33 E:0.155898 |  Sturridge looks good and he looks sharp, but you want him in the middle to create chances.
[1909.00 - 1914.00] P:1735.79 E:0.172798 |  Sturling, even when he goes past people, hasn't got the confidence on his left foot to put in the early ball
[1914.00 - 1920.00] P:1806.52 E:0.149852 |  and that means that Iceland players, defenders can get back behind, get themselves set and snuff out the chance.
[1920.00 - 1927.00] P:1728.20 E:0.149136 |  Walker, pleasure back to Cahill, onto the captain, Rooney and now Dyer, Dyer, left of the centre circle,
[1927.00 - 1932.00] P:1603.85 E:0.189550 |  running over the halfway line now into the Iceland half, flicks it forward towards Harry Kane.
[1932.00 - 1939.00] P:1739.36 E:0.193891 |  Understanding between Spurs players, he's another one, Ali, Ali goes down, but that was a dive, that wasn't a penalty kick,
[1939.00 - 1944.00] P:1695.32 E:0.208036 |  despite the holds of produce from the England fans and Iceland now on the counter-attack.
[1944.00 - 1950.00] P:1711.88 E:0.175015 |  It's with Guilfee Sigurdsson, on towards the far side of the field, doesn't get their return pass because it's out of play
[1950.00 - 1955.00] P:1743.44 E:0.192634 |  off of England boot and it's a throw into Iceland, we're just getting a replay of the challenge.
[1955.00 - 1962.00] P:1633.91 E:0.166698 |  Now, the defender wafted his foot at the ball, Ali sensed an opportunity and went down.
[1962.00 - 1966.00] P:1698.87 E:0.203491 |  My fear is this is going to be Slovakia, we visited.
[1966.00 - 1974.00] P:1784.94 E:0.193243 |  Iceland's sitting, defend deep and England just don't quite have the naus to break them down.
[1974.00 - 1980.00] P:1770.10 E:0.205360 |  Fifteen minutes to half time, Iceland leading by two goals to one, England having taken the lead.
[1980.00 - 1988.00] P:1632.68 E:0.183773 |  We all hoped for an early goal and I thought, well, one-nil could easily be transformed into three-nil, four-nil, not at all.
[1988.00 - 1991.00] P:1776.25 E:0.146883 |  Ian Dennis' touch side.
[1992.00 - 1998.00] P:1745.29 E:0.179793 |  Ian Dennis, cross, I think what they're trying to do, I've seen Gary Neville twice hold up his left hand with two fingers,
[1998.00 - 2004.00] P:1733.16 E:0.175590 |  just maybe watch for a tactical change, they're trying to get the message across and I just wonder whether they might switch to a diamond.
[2005.00 - 2011.00] P:1799.92 E:0.178807 |  Here's Sturridge, down the England right, back to Walker, the fullback and now here, Kale.
[2011.00 - 2017.00] P:1789.42 E:0.177952 |  Kale, England down to walking pace at the moment, onto Dyer and Rooney.
[2017.00 - 2024.00] P:1859.94 E:0.169180 |  It's sluggish for England, smally, inside the Icelandic half, onto Rose and now Sterling takes it up.
[2024.00 - 2030.00] P:1746.34 E:0.207406 |  Clever little dummy by Raheem Sterling, Sterling gets the ball, then he's tackled, fairly challenged, loses the ball
[2030.00 - 2034.00] P:1733.78 E:0.201349 |  and is cleared by Iceland and the Iceland fans absolutely love that.
[2034.00 - 2038.00] P:1805.66 E:0.161914 |  Sterling created an opportunity for himself, didn't make the most of it.
[2038.00 - 2041.00] P:1816.91 E:0.200094 |  Now here's Rooney, he's tackled, loses the ball.
[2041.00 - 2048.00] P:1824.45 E:0.195091 |  Gunnison plays it in for Iceland, that was a waste of pass though, on by Sterling, Kane trips on the ball and it's cleared once more.
[2048.00 - 2055.00] P:1822.45 E:0.196788 |  And it's Zigartson, good ball by Zigartson to the left side and Bjarnasen, Bjarnasen now, pretty isolated.
[2055.00 - 2067.00] P:1893.79 E:0.155334 |  Sterling just had to come back to double up with the defence, Bjarnasen feeds it in, Zigartson to the near side, Skullasen onto Bjarnasen.
[2067.00 - 2078.00] P:1777.90 E:0.175410 |  They're confident Iceland, why shouldn't they be? Having gone behind, they're leading them by two goals to one and they've no inferiority complex whatsoever.
[2078.00 - 2088.00] P:1772.23 E:0.180199 |  But that example with Sterling, exactly what I'm talking about, great little dummy to let the ball run through his legs, skin the ball back for pace, but then because it's on his left foot, he wants it to check under his hands.
[2088.00 - 2095.00] P:1774.57 E:0.178591 |  He hesitates, wants to come onto his left right foot, doesn't have the confidence to whip it in with his left foot and that gives the defender the opportunity.
[2095.00 - 2099.00] P:1817.83 E:0.167836 |  I'd get it, just give him 15 minutes on the right hand side, see what he can do.
[2099.00 - 2106.00] P:1755.59 E:0.192870 |  There's another long throw from Gunnison into the penalty area, oh, and Icelandic player went down there under a challenge by Wayne Rooney.
[2106.00 - 2114.00] P:1816.17 E:0.173911 |  Then the shot has driven in and that troubles Hart, diving to his right, but fortunately for Hart, Skullasen's effort was wider than the post.
[2114.00 - 2123.00] P:1702.19 E:0.170798 |  Oh, dearie me, you know, it did bend a little bit and Joe Hart was worried about it, I think he pulled his hands away in all fairness in the end, knew it had gone past the post.
[2123.00 - 2132.00] P:1651.59 E:0.182020 |  But again, long throw in, set pieces, causing him the massive problems and we knew this exactly what Icelandic players do.
[2132.00 - 2149.00] P:1703.04 E:0.150990 |  12 minutes to half time, you're listening to Five Live in the BBC, Dan Walker and Chris Waddle will be hosting 6-0-6 at the conclusion of this game and haven't helped us in terms of the callers we'll get if this is the final scoreline.
[2149.00 - 2161.00] P:1682.61 E:0.172264 |  Throw in to England, ball goes back to Walker, Walker plays it onto the chest of Smalling, who controls it, onto Rose, on the far side, England left, and now Sterling wants more.
[2161.00 - 2175.00] P:1619.30 E:0.189716 |  Back to Rose, Iceland set up very compactly, 4-4-2, not driven to the England right, Walker controls it well, close to the touch line, plays it back to Dyer and Dyer in to Sturridge.
[2175.00 - 2188.00] P:1533.07 E:0.178789 |  Sturridge turns away from an Icelandic player and then the fast forward wasn't great and they can bring it clear with Birdverson onto the far side and back to Arneson.
[2188.00 - 2200.00] P:1655.32 E:0.206399 |  Arneson turns and plays it back to his goalkeeper, who he might even believe that his rash challenge on Sterling that gave away the penalty so far isn't hurting Iceland too much.
[2200.00 - 2212.00] P:1688.89 E:0.187092 |  But he gives away a throw in there, England have taken it on the far side of the field, it's played back by King and here's Ali, Sturridge is right in the edge of the penalty, here's Rooney, Rooney shot was wide of goal, it was also a crack for Arneson.
[2212.00 - 2221.00] P:1747.90 E:0.171161 |  We talked about this also, I think with Martin Keown before the game and Mark Chapman, the fact that Iceland are quite happy to let people shoot from outside the box.
[2221.00 - 2236.00] P:1674.28 E:0.163040 |  It's not a huge problem, England can't get any decent possession, they're not getting round the back of the fullbacks, when they have on a couple of occasions, Sturridge down this side, check back in great boolean for Harry Kane, Sturling hasn't really got down the side.
[2236.00 - 2243.00] P:1716.96 E:0.163832 |  I think they've got to change the fullbacks, sorry the high wide players, give the Icelandic fullbacks a problem.
[2244.00 - 2255.00] P:1743.25 E:0.201202 |  Rooney putting in in front of the penalty after 5 minutes, 34 seconds later, Iceland equalised and now Rooney loses the ball and Iceland can counterattack once more.
[2255.00 - 2272.00] P:1748.08 E:0.181352 |  That wasn't a great path forward to Bredversen but he finds his colleague on the far side Sigfersen who scored the second of Iceland's goal tonight, back to Gilfrey Sigfersen, Gilfrey Sigfersen shoots a goal, it was thankfully close enough to Jew Hart who made the save comfortably.
[2272.00 - 2286.00] P:1870.50 E:0.178177 |  I'd be interested to hear what Chris thinks about this but it just seems when Iceland break, they're breaking with two or three players against five or six England players but they're in space all the time, just like they were for the second goal.
[2286.00 - 2301.00] P:1789.90 E:0.188355 |  Nobody seems to be taking responsibility to go and close those players down and mark those players and that's what Rio Ferdinand was talking about, when you're attacking you've got to make sure you're locked in, you're locked into that midfield player or centre forward that's going to come short and pick the ball up.
[2301.00 - 2315.00] P:1660.98 E:0.173513 |  England are giving Iceland an easy out at the moment. Stray pass by Wayne Rooney, he's behind Daniel Sturridge and it's out for an Iceland throw in, thankfully it's inside the Icelandic half so we're doing not have to worry about Gunnersen's long throw.
[2315.00 - 2340.00] P:1727.54 E:0.188188 |  The ball goes back to the Icelandic goalkeeper, Holerson and he hits it upfield, Smalling wins the ball in there but Sigfersen was waiting for it. Sigfersen almost put a colleague in difficulty there and he does a second occasion, put the ball to Rooney and now taken up by Harry Kane, Kane inside left channel, turns into his right foot but immediately overruns the ball, he's tackled loses it.
[2340.00 - 2354.00] P:1778.25 E:0.204720 |  Oh that's a kind free kick award by the Slovenian referee and does a yellow card, now here's a yellow card, there are seven of these Icelandic players, Guilfee Sigitsson, I don't think he's on one, no he's not, he's not.
[2354.00 - 2383.00] P:1791.43 E:0.179159 |  So that's the age of them with a possibility of being suspended for the quarterfinals, can we really be thinking this? Icelandic players being suspended for a quarterfinal, well here they are in the last 16 playing England, they're leading by two goals a while, bring in Chris Wallen just a moment, we've got seven and a half minutes left in the first half, the free kick is from the England left, Harry Kane takes it right footed, sorting it towards the far post, it was a half opportunity for Smalling,
[2384.00 - 2387.00] P:1688.76 E:0.181785 |  but it was a glancing header and it's behind for a goal kick, come in Chris.
[2414.00 - 2432.00] P:1651.32 E:0.183164 |  Here's Walker, four England on towards Ali, who's in an advanced position, the ball might yet come to the Tottenham player, but two Icelandic defenders got across quickly and one of them the captain Gunnison clears it to the half wayline, there must have been a final challenge on Gunnison because it's going to be a free kick to Iceland.
[2433.00 - 2441.00] P:1646.32 E:0.176723 |  And the problem is, if you thought Iceland had something to fight for at nil nil, you know, and they were said if they get to half time and it's nil nil, they'll start to grow in confidence.
[2441.00 - 2450.00] P:1750.99 E:0.193776 |  Now, yes, you know, they might be starting to fatigue in the second half, because the same team that has played every single game so far, but now they've really got something to hold on to.
[2450.00 - 2456.00] P:1770.12 E:0.189801 |  They are going to kick, they are going to bite and scratch and fight for every single ball.
[2457.00 - 2462.00] P:1673.50 E:0.163334 |  Iceland has the population of Leicester, just over 300,000.
[2462.00 - 2463.00] P:1791.80 E:0.191829 |  Leicester did alright though this year?
[2463.00 - 2472.00] P:1651.80 E:0.144016 |  They did okay, but this is the European Championship and it's shocking the scoreline in terms of the England perspective.
[2472.00 - 2485.00] P:1652.21 E:0.157756 |  Six minutes to half time here on five line, England one, Iceland two, throw into England, halfway inside their own half, Walker throws it straight to Skullisundalep, back for Iceland,
[2485.00 - 2495.00] P:1475.69 E:0.168808 |  who volleys it upfield, it goes out of play, kick off on Icelandic player, yes, Bortleson, but it's Sunday in England throwing as a result, Bortleson is down,
[2495.00 - 2500.00] P:1558.75 E:0.176572 |  and there are three from Slovenia, Demir Skimini just checking that the Icelandic player is okay.
[2500.00 - 2502.00] P:1531.58 E:0.217112 |  What will be the interest on collision effects?
[2502.00 - 2507.00] P:1573.59 E:0.183556 |  What will be really interesting if England do manage to make it through to the quarter-final?
[2507.00 - 2513.00] P:1687.58 E:0.160878 |  Goalkeeper, two mistakes, two costly errors.
[2513.00 - 2516.00] P:1617.65 E:0.170375 |  I think there are both bad mistakes as well.
[2516.00 - 2518.00] P:1598.42 E:0.163417 |  I think you might have to think about changing them.
[2518.00 - 2521.00] P:1581.45 E:0.141440 |  Really bad mistakes.
[2521.00 - 2532.00] P:1457.45 E:0.178899 |  Anyway, play has resumed, the Icelandic striker is okay, and here's Smalling for England, onto Rosen the far side of the field, inside the final five minutes of the first half year on five line,
[2532.00 - 2542.00] P:1446.47 E:0.159696 |  Bortleson, falls back with Smalling, and now to Cahill, and Cahill lays it towards the right side, towards Walker, and it's back to Cahill.
[2542.00 - 2551.00] P:1554.08 E:0.175024 |  And what they're looking at, England, it's just three lines of Icelandic blue shirts between them and the Icelandic penalty here,
[2551.00 - 2557.00] P:1406.82 E:0.162281 |  and at the moment they haven't got the noise to find the way forward.
[2557.00 - 2565.00] P:1534.46 E:0.189753 |  Sterling has come inside, Rose is wide on the left and the far side of the field, and Rose takes it up from Rudi's pass, onto Sterling,
[2565.00 - 2574.00] P:1681.69 E:0.177548 |  Rose is after it, the ball might bounce kindly for Danny Rose, then he was challenged, but it was just a physical challenge, it wasn't a foul, and it's behind for the goal kick.
[2574.00 - 2583.00] P:1804.51 E:0.166535 |  Now for those that haven't seen Iceland play either live or on the television, it's a little bit like watching Stoke or West Brom under Tony Pulas.
[2583.00 - 2590.00] P:1618.32 E:0.164553 |  Very, very organised, rigid 4-4-2, happy to play from set pieces, and it's effective.
[2590.00 - 2597.00] P:1652.06 E:0.164983 |  But you know what gets me when you say that, and you're absolutely right Danny, could Roy Hodgson not see this?
[2597.00 - 2602.00] P:1696.25 E:0.180959 |  How high with his resources can he not think of a way past Iceland?
[2602.00 - 2608.00] P:1562.66 E:0.161343 |  Well, Iceland even told us their strengths, they were quite happy to brag about it as well.
[2608.00 - 2614.00] P:1668.94 E:0.188935 |  Ziggerson, that's Guilfee Ziggerson, plays it back into his own half, and Cyberson hits it forward, it's now inside the centre circle.
[2614.00 - 2623.00] P:1495.80 E:0.191210 |  Cyberson now bollies it again, towards the left side, but that's well beyond Bjarnasson, and it just doesn't really matter how scrappy Iceland's football is at the moment,
[2623.00 - 2630.00] P:1556.48 E:0.207347 |  they're leading by two goals to one, and we're inside the 42nd minute of the game.
[2630.00 - 2635.00] P:1732.52 E:0.204077 |  What thinking needs to be done in that England dressing room at half time?
[2635.00 - 2641.00] P:1905.21 E:0.207676 |  Smalling to Rose, how much better will feel if England can equalise before the interval?
[2641.00 - 2645.00] P:1671.45 E:0.155457 |  There's still plenty of time, but they're not playing well enough at the moment.
[2645.00 - 2653.00] P:1661.85 E:0.167169 |  Rose on the far side of the field, Dummies Goodman sin and brings the ball under control, now he hits it through the centre circle to Kehl,
[2653.00 - 2662.00] P:1766.38 E:0.174982 |  Rooney's available, Rooney takes it up, just over the half way line, and Rooney slides the pass towards the left, towards Rose,
[2662.00 - 2670.00] P:1776.41 E:0.157688 |  Sterling's ahead of him, but there's not really an option for the passes infield instead to Smalling,
[2670.00 - 2676.00] P:1770.56 E:0.185841 |  and as to Kehl, he's made 20 yards progress inside the Icelandic half, leaving it for Sturridge,
[2676.00 - 2683.00] P:1752.96 E:0.181222 |  and Sturridge crosses towards the par-po, and that almost pulled the goalkeeper, it turned out to be as much of a shot as it was across,
[2683.00 - 2686.00] P:1744.03 E:0.122973 |  but Holerson caught it in time.
[2687.00 - 2698.00] P:1645.59 E:0.165837 |  Stravakia, like I said, revisit isn't it? You know England now, not quite sure what to do, can't get the ball with any real threat in the final third,
[2698.00 - 2704.00] P:1708.89 E:0.183480 |  and since that second goal went in, far from that shot from Harry Kane, haven't really troubled the goalkeeper in any way, shape or form.
[2704.00 - 2710.00] P:1735.26 E:0.176466 |  No, I think clearly the damage is obvious to England's confidence,
[2710.00 - 2717.00] P:1690.55 E:0.189036 |  when they should have been thriving courtesy of this man's early penalty, Wayne Rooney, Rooney's now being fouled.
[2717.00 - 2725.00] P:1715.58 E:0.164180 |  Gunnerson, his opposite number, the Icelandic skipper has fallen, just a couple yards in advance of the centre-circle,
[2725.00 - 2731.00] P:1779.18 E:0.162172 |  so Rooney takes the free kick to Rose, onto Sterling, on the far side of the field, Ali's gone across,
[2731.00 - 2738.00] P:1761.28 E:0.178405 |  Sterling wholly unconvincing with the possession of the ball there, England fortunate to keep possession,
[2738.00 - 2747.00] P:1680.18 E:0.165096 |  it's with Cahill, onto Rooney, back to Dyer, and there isn't an Icelandic player within 30 yards of the half-wayline at the moment,
[2747.00 - 2753.00] P:1673.92 E:0.188856 |  Walker takes on his opposite number on the outside, plays it into Rooney, Rooney hits it on the ball,
[2753.00 - 2756.00] P:1617.43 E:0.214328 |  he down into the grind, and wide of the goal was shot.
[2756.00 - 2763.00] P:1769.00 E:0.187159 |  The difficult one for Rooney, it was driven in by Kyle Walker, really, really fiercely, came to Wayne Rooney quite quickly,
[2763.00 - 2768.00] P:1848.57 E:0.154006 |  misjudged it by a fraction, and instead of getting his foot on the ball, got his shin on the ball,
[2768.00 - 2774.00] P:1679.15 E:0.181877 |  we just see a picture of Roy Hodgson with head in hand, rubbing his eyes, quite sure what to do.
[2774.00 - 2781.00] P:1568.88 E:0.172909 |  I think he's got a brave call at half-time, and if he takes off for him, Sterling kills his confidence completely,
[2781.00 - 2785.00] P:1547.80 E:0.155723 |  but you've got to do the right thing for England, and to get back and win this game.
